KEYBOARD_TYPE: tablet
PRACTICE_WORDS_PER_INPUT: 3
WORD_ORDER: [hailed, shier, tales, coy, bale, mans, find, sires, dipped, falls, sicker, sue, dubbed, tin, core]
REACTION_TIME_FIRST_PRESSED: [1.6945188, 1.5171444, 1.7672919, 1.8339521, 1.75067, 1.9673876, 1.5171744, 1.4838027, 1.4504545, 1.4004862, 1.9674206, 1.6839482, 1.884017, 1.550532, 1.5838327]
REACTION_TIME_FIRST_TOUCH: [1.6945188, 1.5171444, 1.7672919, 1.8339521, 1.75067, 1.9673876, 1.5171744, 1.4838027, 1.4504545, 1.4004862, 1.9674206, 1.6839482, 1.884017, 1.550532, 1.5838327]
AVERAGE_REACTION_TIME_TO_ERRORS: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.817777, 0.0, 1.1337578, 0.0, 0.9337088, 0.0, 0.0, 0.9225752]
TEXT_ENTRY_RATE_WPM: [23.715391, 19.520475, 18.24748, 28.472647, 23.046913, 25.135733, 26.361555, 18.936031, 21.369795, 23.99362, 16.912724, 15.274324, 30.26597, 21.465353, 3.5043504]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [23.715391, 19.520475, 18.24748, 28.472647, 23.046913, 25.135733, 26.361555, 20.38281, 21.369795, 26.6065, 16.912724, 16.998785, 30.26597, 21.465353, 3.5043504]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [16.13545, 14.279925, 14.242148, 15.49225, 15.65199, 12.31947, 17.974792, 15.476, 13.988541, 18.45609, 11.718761, 11.878704, 18.621773, 15.844957, 4.2692156]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [16.13545, 14.279925, 14.242148, 15.49225, 15.65199, 12.31947, 17.974792, 16.26215, 13.988541, 19.695948, 11.718761, 12.625774, 18.621773, 15.844957, 4.2692156]
ERROR_RATE_KSPC: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.3333334, 1.0, 1.6666666, 1.0, 1.5, 1.0, 1.0, 6.3333335]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.2857143, 1.0, 1.0, 1.0, 1.0, 6.3333335]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.285715, 0.0, 14.285715, 0.0, 20.0, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.5, 0.0, 20.0, 0.0, 16.666668, 0.0, 0.0, 42.105263]
ERROR_RATE_MWD: [26.666668]
ERROR_RATE_MODIFIED_MWD_SHORTEST: [20.0]
ERROR_RATE_MODIFIED_MWD_BACKSPACE: [26.666668]
TOTAL_ERROR_RATE: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.285715, 0.0, 25.0, 0.0, 20.0, 0.0, 0.0, 72.72727]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 14.285715, 0.0, 25.0, 0.0, 20.0, 0.0, 0.0, 72.72727]
