PRACTICE_WORD_COUNT: 1
TIME_EXPERIMENT_START: 1598580476020461
TIME_WORD_START: 1598580476496900; WORD_VALUE: limped
TIME_SPECIAL: 1598582506080217; POINT_POSITION: (563.445, 235.555, 0); TOOL_DIRECTION: (-0.022404, 0.177862, -0.9838)
TIME_SPECIAL: 1598582522702681; POINT_POSITION: (568.066, 222.144, 0); TOOL_DIRECTION: (-0.0154573, 0.163057, -0.986496)
TIME_SPECIAL: 1598582539397962; POINT_POSITION: (573.336, 206.856, 0); TOOL_DIRECTION: (-0.00775894, 0.14517, -0.989376)
TIME_SPECIAL: 1598582556086417; POINT_POSITION: (578.716, 191.355, 0); TOOL_DIRECTION: (0.000203978, 0.127922, -0.991784)
TIME_SPECIAL: 1598582572795068; POINT_POSITION: (582.636, 175.119, 0); TOOL_DIRECTION: (0.00558573, 0.108253, -0.994108)
TIME_PRESSED: 1598582572828916; KEY_PRESSED: VK_M; KEY_EXPECTED: VK_M; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1598582589460483; POINT_POSITION: (584.981, 158.596, 0); TOOL_DIRECTION: (0.00809031, 0.0897159, -0.995935)
TIME_SPECIAL: 1598582606100298; POINT_POSITION: (586.493, 141.36, 0); TOOL_DIRECTION: (0.00951677, 0.0716523, -0.997384)
TIME_SPECIAL: 1598582622762869; POINT_POSITION: (587.258, 132.307, 0); TOOL_DIRECTION: (0.0103106, 0.0613424, -0.998064)
TIME_SPECIAL: 1598582639444782; POINT_POSITION: (588.986, 116.628, 0); TOOL_DIRECTION: (0.0118308, 0.0462802, -0.998858)
TIME_SPECIAL: 1598582656131530; POINT_POSITION: (590.575, 105.402, 0); TOOL_DIRECTION: (0.0129956, 0.0342784, -0.999328)
TIME_SPECIAL: 1598582672813727; POINT_POSITION: (592.325, 96.545, 0); TOOL_DIRECTION: (0.0149066, 0.0277786, -0.999503)
TIME_SPECIAL: 1598582689483409; POINT_POSITION: (594.254, 85.8683, 0); TOOL_DIRECTION: (0.016876, 0.0195223, -0.999667)
TIME_SPECIAL: 1598582706161055; POINT_POSITION: (596.14, 80.3603, 0); TOOL_DIRECTION: (0.0192472, 0.0151671, -0.9997)
TIME_SPECIAL: 1598582722824763; POINT_POSITION: (597.448, 77.8736, 0); TOOL_DIRECTION: (0.0203488, 0.0118379, -0.999723)
TIME_SPECIAL: 1598582739495298; POINT_POSITION: (599.087, 75.7303, 0); TOOL_DIRECTION: (0.0212431, 0.00975244, -0.999727)
TIME_SPECIAL: 1598582756181193; POINT_POSITION: (603.428, 80.2855, 0); TOOL_DIRECTION: (0.0255955, 0.0190599, -0.999491)
TIME_SPECIAL: 1598582772892972; POINT_POSITION: (610.005, 89.9096, 0); TOOL_DIRECTION: (0.0290662, 0.0316942, -0.999075)
TIME_SPECIAL: 1598582789527383; POINT_POSITION: (617.012, 104.344, 0); TOOL_DIRECTION: (0.0312978, 0.0499314, -0.998262)
TIME_SPECIAL: 1598582806212709; POINT_POSITION: (626.466, 124.342, 0); TOOL_DIRECTION: (0.0370239, 0.0763865, -0.996391)
TIME_SPECIAL: 1598582822867031; POINT_POSITION: (637.089, 144.702, 0); TOOL_DIRECTION: (0.0422909, 0.0984314, -0.994245)
TIME_SPECIAL: 1598582839501727; POINT_POSITION: (642.555, 156.097, 0); TOOL_DIRECTION: (0.0447625, 0.109967, -0.992927)
TIME_SPECIAL: 1598582856228866; POINT_POSITION: (653.028, 177.595, 0); TOOL_DIRECTION: (0.0483926, 0.129561, -0.99039)
TIME_SPECIAL: 1598582872892859; POINT_POSITION: (660.706, 192.505, 0); TOOL_DIRECTION: (0.0484191, 0.135795, -0.989553)
TIME_SPECIAL: 1598582889579038; POINT_POSITION: (670.38, 209.279, 0); TOOL_DIRECTION: (0.0516343, 0.147227, -0.987754)
TIME_PRESSED: 1598582889610611; KEY_PRESSED: VK_P; KEY_EXPECTED: VK_P; KEY_PRESSED_UPPER: false; KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 1598582906258391; POINT_POSITION: (686.842, 227.442, 0); TOOL_DIRECTION: (0.0667601, 0.161262, -0.984651)
TIME_SPECIAL: 1598582922937743; POINT_POSITION: (704.517, 243.459, 0); TOOL_DIRECTION: (0.0827239, 0.169531, -0.982047)
TIME_SPECIAL: 1598582939615958; POINT_POSITION: (716.422, 255.981, 0); TOOL_DIRECTION: (0.0926092, 0.17617, -0.979994)
TIME_SPECIAL: 1598582956271987; POINT_POSITION: (725.699, 267.801, 0); TOOL_DIRECTION: (0.101766, 0.187697, -0.976941)
TIME_SPECIAL: 1598582972946789; POINT_POSITION: (729.707, 273.156, 0); TOOL_DIRECTION: (0.105045, 0.189873, -0.976173)
TIME_SPECIAL: 1598582989581484; POINT_POSITION: (732.108, 275.836, 0); TOOL_DIRECTION: (0.109723, 0.188902, -0.975847)
TIME_SPECIAL: 1598583006312605; POINT_POSITION: (733.461, 277.366, 0); TOOL_DIRECTION: (0.117383, 0.187602, -0.975206)
TIME_SPECIAL: 1598583022972900; POINT_POSITION: (727.565, 279.691, 0); TOOL_DIRECTION: (0.117517, 0.187431, -0.975223)
TIME_SPECIAL: 1598583039687808; POINT_POSITION: (721.143, 280.499, 0); TOOL_DIRECTION: (0.113567, 0.187666, -0.975645)
TIME_SPECIAL: 1598583056361188; POINT_POSITION: (691.799, 278.215, 0); TOOL_DIRECTION: (0.0903987, 0.191575, -0.977306)
TIME_SPECIAL: 1598583073029163; POINT_POSITION: (680.553, 277.866, 0); TOOL_DIRECTION: (0.0837698, 0.190973, -0.978014)
TIME_SPECIAL: 1598583089662152; POINT_POSITION: (661.467, 275.358, 0); TOOL_DIRECTION: (0.0725204, 0.190023, -0.979098)
TIME_SPECIAL: 1598583106340936; POINT_POSITION: (661.467, 275.358, 0); TOOL_DIRECTION: (0.0725204, 0.190023, -0.979098)
TIME_SPECIAL: 1598583122961124; POINT_POSITION: (622.148, 279.114, 2.04819); TOOL_DIRECTION: (0.0587416, 0.207065, -0.976562)
TIME_SPECIAL: 1598583139690539; POINT_POSITION: (594.502, 281.368, 7.29133); TOOL_DIRECTION: (0.04967, 0.215459, -0.975249)
