PRACTICE_WORD_COUNT: 2
TIME_EXPERIMENT_START: 1598834239085987
TIME_WORD_START: 1598834239656292; WORD_VALUE: channelled
TIME_SPECIAL: 1598839086921560; POINT_POSITION: (70.3966, 187.213, 0)
TIME_SPECIAL: 1598839103574460; POINT_POSITION: (68.301, 187.877, 0)
TIME_SPECIAL: 1598839120314114; POINT_POSITION: (66.4704, 189.687, 0)
TIME_SPECIAL: 1598839136982658; POINT_POSITION: (65.9629, 191.317, 0)
TIME_SPECIAL: 1598839153653762; POINT_POSITION: (67.3822, 193.374, 0)
TIME_SPECIAL: 1598839170321168; POINT_POSITION: (69.0756, 194.487, 0)
TIME_SPECIAL: 1598839186971792; POINT_POSITION: (77.8427, 197.81, 0)
TIME_SPECIAL: 1598839203693242; POINT_POSITION: (88.0117, 202.894, 0)
TIME_SPECIAL: 1598839220284703; POINT_POSITION: (103.818, 203.48, 0)
TIME_SPECIAL: 1598839237011557; POINT_POSITION: (116.343, 204.933, 0)
TIME_SPECIAL: 1598839253632031; POINT_POSITION: (129.929, 203.425, 0)
TIME_SPECIAL: 1598839270317641; POINT_POSITION: (145.724, 200.523, 0)
TIME_SPECIAL: 1598839287022309; POINT_POSITION: (154.134, 199.943, 0)
TIME_SPECIAL: 1598839303710195; POINT_POSITION: (171.85, 196.872, 0)
TIME_SPECIAL: 1598839320377317; POINT_POSITION: (188.88, 192.552, 0)
TIME_SPECIAL: 1598839337122375; POINT_POSITION: (207.348, 190.666, 0)
TIME_SPECIAL: 1598839353819648; POINT_POSITION: (223.558, 190.102, 0)
TIME_SPECIAL: 1598839370400584; POINT_POSITION: (241.591, 184.99, 0)
TIME_SPECIAL: 1598839387078514; POINT_POSITION: (260.981, 177.289, 0)
TIME_SPECIAL: 1598839403768107; POINT_POSITION: (275.471, 173.093, 0)
TIME_SPECIAL: 1598839420385167; POINT_POSITION: (287.868, 169.958, 0)
TIME_SPECIAL: 1598839437128235; POINT_POSITION: (301.353, 166.839, 0)
