PRACTICE_WORD_COUNT: 16
TIME_EXPERIMENT_START: 154488067746712
TIME_WORD_START: 154488068448715; WORD_VALUE: shirr
TIME_SPECIAL: 154490267356514; POINT_POSITION: (-174.635, 240.544, 0); TOOL_DIRECTION: (-0.110453, -0.129378, -0.985424)
TIME_SPECIAL: 154490283956555; POINT_POSITION: (-180.155, 244.356, 0); TOOL_DIRECTION: (-0.111816, -0.123097, -0.986075)
TIME_SPECIAL: 154490300653022; POINT_POSITION: (-183.919, 246.92, 0); TOOL_DIRECTION: (-0.111532, -0.119125, -0.986595)
TIME_SPECIAL: 154490317309098; POINT_POSITION: (-188.99, 250.376, 0); TOOL_DIRECTION: (-0.112473, -0.111403, -0.98739)
TIME_SPECIAL: 154490333977405; POINT_POSITION: (-192.425, 253.545, 0); TOOL_DIRECTION: (-0.112808, -0.103281, -0.988235)
TIME_SPECIAL: 154490350695489; POINT_POSITION: (-193.175, 254.084, 0); TOOL_DIRECTION: (-0.112295, -0.103148, -0.988307)
TIME_SPECIAL: 154490367371191; POINT_POSITION: (-194.929, 255.242, 0); TOOL_DIRECTION: (-0.11065, -0.103017, -0.988506)
TIME_SPECIAL: 154490384042343; POINT_POSITION: (-195.268, 255.638, 0); TOOL_DIRECTION: (-0.110239, -0.102913, -0.988563)
TIME_SPECIAL: 154490400714916; POINT_POSITION: (-191.887, 256.279, 0); TOOL_DIRECTION: (-0.107264, -0.101669, -0.989019)
TIME_SPECIAL: 154490417349090; POINT_POSITION: (-186.212, 256.838, 0); TOOL_DIRECTION: (-0.102453, -0.100829, -0.989614)
TIME_SPECIAL: 154490434100739; POINT_POSITION: (-175.921, 256.557, 0); TOOL_DIRECTION: (-0.0966473, -0.103931, -0.989878)
TIME_SPECIAL: 154490450744299; POINT_POSITION: (-159.361, 253.069, 0); TOOL_DIRECTION: (-0.0895346, -0.113628, -0.989481)
TIME_SPECIAL: 154490467464943; POINT_POSITION: (-137.519, 247.768, 0); TOOL_DIRECTION: (-0.080886, -0.125646, -0.988772)
TIME_SPECIAL: 154490484152024; POINT_POSITION: (-116.553, 243.714, 0); TOOL_DIRECTION: (-0.073825, -0.135302, -0.98805)
TIME_SPECIAL: 154490500808668; POINT_POSITION: (-97.5566, 242.127, 0); TOOL_DIRECTION: (-0.0700612, -0.137829, -0.987975)
TIME_SPECIAL: 154490517492620; POINT_POSITION: (-78.5723, 242.062, 0); TOOL_DIRECTION: (-0.067998, -0.136721, -0.988273)
TIME_SPECIAL: 154490534108305; POINT_POSITION: (-61.8802, 242.497, 0); TOOL_DIRECTION: (-0.0668716, -0.135047, -0.98858)
TIME_SPECIAL: 154490550802212; POINT_POSITION: (-51.9126, 243.213, 0); TOOL_DIRECTION: (-0.0669948, -0.133622, -0.988765)
TIME_SPECIAL: 154490567461132; POINT_POSITION: (-34.7475, 243.761, 0); TOOL_DIRECTION: (-0.0665163, -0.133426, -0.988824)
TIME_SPECIAL: 154490584165847; POINT_POSITION: (-24.4809, 244.721, 0); TOOL_DIRECTION: (-0.0708158, -0.130576, -0.988906)
TIME_SPECIAL: 154490600801728; POINT_POSITION: (-21.9829, 247.738, 0); TOOL_DIRECTION: (-0.0808086, -0.119394, -0.989553)
