PRACTICE_WORD_COUNT: 10
TIME_EXPERIMENT_START: 1940206592023
TIME_WORD_START: 1940208058030; WORD_VALUE: pens
TIME_SPECIAL: 1942199834569; POINT_POSITION: (364.143, 212.816, 0.510283); TOOL_DIRECTION: (-0.119605, 0.10288, -0.987477)
TIME_SPECIAL: 1942216441062; POINT_POSITION: (387.242, 201.911, 1.24387); TOOL_DIRECTION: (-0.113108, 0.0946684, -0.989062)
TIME_SPECIAL: 1942233179820; POINT_POSITION: (410.817, 190.956, 1.88064); TOOL_DIRECTION: (-0.107344, 0.0872876, -0.990383)
TIME_SPECIAL: 1942249859415; POINT_POSITION: (434.49, 180.956, 0.183813); TOOL_DIRECTION: (-0.101138, 0.0815449, -0.991525)
TIME_SPECIAL: 1942266508859; POINT_POSITION: (458.517, 169.215, 0.0450389); TOOL_DIRECTION: (-0.0933431, 0.0733255, -0.99293)
TIME_SPECIAL: 1942283220026; POINT_POSITION: (470.374, 162.795, 0); TOOL_DIRECTION: (-0.089261, 0.0683525, -0.99366)
TIME_SPECIAL: 1942299832777; POINT_POSITION: (492.997, 150.498, 0); TOOL_DIRECTION: (-0.0813562, 0.0605566, -0.994844)
TIME_SPECIAL: 1942316541100; POINT_POSITION: (514.408, 138.359, 0); TOOL_DIRECTION: (-0.0732658, 0.0520632, -0.995953)
TIME_SPECIAL: 1942333201352; POINT_POSITION: (533.439, 129.084, 0); TOOL_DIRECTION: (-0.0667737, 0.046815, -0.996669)
TIME_PRESSED: 1942333258525; KEY_PRESSED: VK_N; KEY_EXPECTED: VK_N
TIME_SPECIAL: 1942349942386; POINT_POSITION: (548.137, 120.525, 0); TOOL_DIRECTION: (-0.0633563, 0.0418339, -0.997114)
TIME_SPECIAL: 1942366575048; POINT_POSITION: (557.432, 114.244, 0); TOOL_DIRECTION: (-0.0649566, 0.038847, -0.997132)
