PRACTICE_WORD_COUNT: 11
TIME_EXPERIMENT_START: 2879421758508
TIME_WORD_START: 2879422397646; WORD_VALUE: hipped
TIME_SPECIAL: 2881784764680; POINT_POSITION: (671.446, 209.621, 0); TOOL_DIRECTION: (0.0170216, -0.0978434, -0.995056)
TIME_SPECIAL: 2881801504576; POINT_POSITION: (682.706, 208.713, 0); TOOL_DIRECTION: (0.021541, -0.12224, -0.992267)
TIME_SPECIAL: 2881818145771; POINT_POSITION: (688.047, 209.227, 0); TOOL_DIRECTION: (0.0224393, -0.119669, -0.99256)
TIME_SPECIAL: 2881834840157; POINT_POSITION: (702.848, 212.469, 0); TOOL_DIRECTION: (0.0304646, -0.0829262, -0.99609)
TIME_SPECIAL: 2881851502685; POINT_POSITION: (714.644, 211.484, 0); TOOL_DIRECTION: (0.0351097, -0.101898, -0.994175)
TIME_PRESSED: 2881851539093; KEY_PRESSED: VK_P; KEY_EXPECTED: VK_P
TIME_SPECIAL: 2881868181995; POINT_POSITION: (723.752, 210.7, 0); TOOL_DIRECTION: (0.0356623, -0.121275, -0.991978)
TIME_SPECIAL: 2881884830301; POINT_POSITION: (739.296, 211.776, 0); TOOL_DIRECTION: (0.0439063, -0.118408, -0.991994)
TIME_SPECIAL: 2881901516153; POINT_POSITION: (749.089, 213.226, 0); TOOL_DIRECTION: (0.0471795, -0.109551, -0.992861)
TIME_PRESSED: 2881901550570; KEY_PRESSED: VK_P; KEY_EXPECTED: VK_P
TIME_SPECIAL: 2881918211676; POINT_POSITION: (754.381, 214.007, 0); TOOL_DIRECTION: (0.0505903, -0.10646, -0.993029)
TIME_SPECIAL: 2881934802810; POINT_POSITION: (761.85, 213.477, 0); TOOL_DIRECTION: (0.0539883, -0.116504, -0.991722)
TIME_SPECIAL: 2881951524501; POINT_POSITION: (769.166, 214.164, 0); TOOL_DIRECTION: (0.0560942, -0.117353, -0.991505)
TIME_SPECIAL: 2881968208931; POINT_POSITION: (776.526, 215.114, 0); TOOL_DIRECTION: (0.0588287, -0.11553, -0.99156)
TIME_SPECIAL: 2881984829362; POINT_POSITION: (781.324, 216.026, 0); TOOL_DIRECTION: (0.0602558, -0.110639, -0.992032)
TIME_SPECIAL: 2882001544512; POINT_POSITION: (784.587, 216.77, 0); TOOL_DIRECTION: (0.0613113, -0.111031, -0.991924)
TIME_SPECIAL: 2882018209600; POINT_POSITION: (786.814, 217.895, 0); TOOL_DIRECTION: (0.0628525, -0.105722, -0.992407)
TIME_SPECIAL: 2882034903416; POINT_POSITION: (788.654, 218.582, 0); TOOL_DIRECTION: (0.0636207, -0.10202, -0.992746)
