PRACTICE_WORD_COUNT: 3
TIME_SPECIAL: 149643872778151; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 149644089619456; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_SPECIAL: 149644339737641; DIRECTION_PRESSED: DOWN
TIME_SPECIAL: 149644623169401; DIRECTION_PRESSED: LEFT
TIME_PRESSED: 149644806603266; KEY_PRESSED: VK_S; KEY_EXPECTED: VK_S
TIME_PRESSED: 149644839946991; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 149644839972591; WORD_VALUE: gapes
TIME_WORD_START: 149644840004164; WORD_VALUE: fie
TIME_SPECIAL: 149645540201623; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149645723618137; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 149646057143279; KEY_PRESSED: VK_F; KEY_EXPECTED: VK_F
TIME_SPECIAL: 149646257232935; DIRECTION_PRESSED: UP
TIME_SPECIAL: 149646523997810; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149646740838831; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149646924139576; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149647074214925; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 149647391070338; KEY_PRESSED: VK_I; KEY_EXPECTED: VK_I
TIME_SPECIAL: 149647607840248; DIRECTION_PRESSED: LEFT
TIME_SPECIAL: 149647974649951; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149648174764638; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149648358226662; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149648541541915; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149648774982976; DIRECTION_PRESSED: RIGHT
TIME_SPECIAL: 149649141915558; DIRECTION_PRESSED: RIGHT
TIME_PRESSED: 149649341940646; KEY_PRESSED: VK_E; KEY_EXPECTED: VK_E
TIME_PRESSED: 149649375277259; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 149649375301721; WORD_VALUE: fie
TIME_EXPERIMENT_END: 149649392348336
