PRACTICE_WORD_COUNT: 3
TIME_EXPERIMENT_START: 37783038453503
TIME_WORD_START: 37783039811955; WORD_VALUE: ginned
TIME_SPECIAL: 37793278539334; POINT_POSITION: (769, 243, 0)
TIME_SPECIAL: 37793309802277; POINT_POSITION: (739, 236, 0)
TIME_SPECIAL: 37793341053633; POINT_POSITION: (721, 231, 0)
TIME_SPECIAL: 37793372302008; POINT_POSITION: (721, 228, 0)
TIME_SPECIAL: 37793403566938; POINT_POSITION: (708, 228, 0)
TIME_SPECIAL: 37793434801739; POINT_POSITION: (703, 227, 0)
TIME_SPECIAL: 37793466040182; POINT_POSITION: (704, 230, 0)
TIME_SPECIAL: 37793497307099; POINT_POSITION: (713, 233, 0)
TIME_SPECIAL: 37793528563752; POINT_POSITION: (727, 236, 0)
TIME_SPECIAL: 37793560033294; POINT_POSITION: (742, 238, 0)
TIME_SPECIAL: 37793591093943; POINT_POSITION: (757, 238, 0)
