PRACTICE_WORD_COUNT: 10
TIME_EXPERIMENT_START: 116897889399525
TIME_WORD_START: 116897889906401; WORD_VALUE: balls
TIME_SPECIAL: 116899852103477; POINT_POSITION: (544.352, 134.13, 154.433); TOOL_DIRECTION: (-0.0867575, 0.0137216, -0.996135)
TIME_SPECIAL: 116899868780602; POINT_POSITION: (542.566, 135.642, 117.772); TOOL_DIRECTION: (-0.0863256, 0.0126411, -0.996187)
TIME_SPECIAL: 116899885428998; POINT_POSITION: (541.151, 136.365, 115.76); TOOL_DIRECTION: (-0.0868583, 0.0107792, -0.996162)
TIME_SPECIAL: 116899902139118; POINT_POSITION: (539.776, 136.458, 122.954); TOOL_DIRECTION: (-0.0892976, 0.0128146, -0.995923)
TIME_SPECIAL: 116899918830465; POINT_POSITION: (538.239, 135.59, 132.285); TOOL_DIRECTION: (-0.0905793, 0.0111993, -0.995826)
TIME_SPECIAL: 116899935492798; POINT_POSITION: (535.997, 133.685, 139.946); TOOL_DIRECTION: (-0.0916885, 0.00992938, -0.995738)
TIME_SPECIAL: 116899952173336; POINT_POSITION: (532.909, 131.097, 139.457); TOOL_DIRECTION: (-0.092326, 0.00798316, -0.995697)
TIME_SPECIAL: 116899968849608; POINT_POSITION: (529.779, 128.894, 137.171); TOOL_DIRECTION: (-0.0938711, 0.00795156, -0.995553)
TIME_SPECIAL: 116899985502270; POINT_POSITION: (527.119, 127.242, 133.798); TOOL_DIRECTION: (-0.0945173, 0.0062126, -0.995504)
TIME_SPECIAL: 116900002181102; POINT_POSITION: (525.125, 126.311, 129.16); TOOL_DIRECTION: (-0.0951883, 0.00702376, -0.995435)
TIME_SPECIAL: 116900018885533; POINT_POSITION: (523.209, 125.278, 123.771); TOOL_DIRECTION: (-0.0957873, 0.00456666, -0.995391)
TIME_SPECIAL: 116900035532791; POINT_POSITION: (521.702, 123.948, 118.216); TOOL_DIRECTION: (-0.0946146, 0.00118479, -0.995513)
TIME_SPECIAL: 116900052208209; POINT_POSITION: (520.426, 122.792, 114.036); TOOL_DIRECTION: (-0.0942924, -0.000236603, -0.995544)
TIME_SPECIAL: 116900068873956; POINT_POSITION: (519.987, 122.31, 112.542); TOOL_DIRECTION: (-0.0939082, -0.000515476, -0.995581)
TIME_SPECIAL: 116900085564734; POINT_POSITION: (519.546, 121.297, 107.331); TOOL_DIRECTION: (-0.0923521, -0.00436913, -0.995717)
TIME_SPECIAL: 116900102288222; POINT_POSITION: (519.432, 119.98, 102.091); TOOL_DIRECTION: (-0.0908662, -0.00944435, -0.995818)
TIME_SPECIAL: 116900118923819; POINT_POSITION: (519.441, 118.132, 95.5684); TOOL_DIRECTION: (-0.0894547, -0.0167381, -0.99585)
TIME_SPECIAL: 116900135561690; POINT_POSITION: (519.877, 116.331, 89.1733); TOOL_DIRECTION: (-0.0878472, -0.0190642, -0.995952)
TIME_SPECIAL: 116900152249624; POINT_POSITION: (520.756, 114.947, 84.3291); TOOL_DIRECTION: (-0.086586, -0.0189489, -0.996064)
TIME_SPECIAL: 116900168939264; POINT_POSITION: (521.708, 114.176, 80.2768); TOOL_DIRECTION: (-0.0859023, -0.0166454, -0.996165)
TIME_SPECIAL: 116900185603020; POINT_POSITION: (522.38, 113.82, 75.4273); TOOL_DIRECTION: (-0.0866051, -0.0143153, -0.99614)
TIME_SPECIAL: 116900202262509; POINT_POSITION: (523.379, 113.024, 68.631); TOOL_DIRECTION: (-0.085158, -0.0170208, -0.996222)
TIME_SPECIAL: 116900218942478; POINT_POSITION: (524.872, 111.957, 62.6202); TOOL_DIRECTION: (-0.0837331, -0.0184385, -0.996318)
TIME_SPECIAL: 116900235607372; POINT_POSITION: (526.655, 111.095, 57.6107); TOOL_DIRECTION: (-0.0826377, -0.017576, -0.996425)
TIME_SPECIAL: 116900252315785; POINT_POSITION: (528.246, 110.629, 53.7739); TOOL_DIRECTION: (-0.0822492, -0.0162485, -0.996479)
TIME_SPECIAL: 116900268987505; POINT_POSITION: (529.466, 110.489, 49.5784); TOOL_DIRECTION: (-0.0820678, -0.0150738, -0.996513)
