KEYBOARD_TYPE: tablet
PRACTICE_WORDS_PER_INPUT: 2
WORD_ORDER: [mans, dipped, shier, core, find, sue, tales, falls, tin, dubbed, bale, hailed, sicker, coy, sires]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [14.807868, 11.072021, 16.605839, 15.7634535, 21.58738, 15.366119, 15.729477, 20.194864, 12.735987, 18.732405, 20.573383, 20.450073, 19.076101, 19.096025, 15.315554]
ERROR_RATE_KSPC: [1.0, 1.4, 3.6666667, 1.3333334, 1.0, 1.0, 1.0, 2.7142856, 1.0, 1.0, 1.0, 1.0, 1.0, 1.6666666, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.6, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 16.666668, 57.14286, 14.285715, 0.0, 0.0, 0.0, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [0.0, 14.285715, 36.363636, 12.5, 0.0, 0.0, 0.0, 36.842106, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0]
TOTAL_ERROR_RATE: [0.0, 16.666668, 57.14286, 14.285715, 0.0, 0.0, 0.0, 53.846157, 0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [0.0, 16.666668, 57.14286, 14.285715, 0.0, 0.0, 0.0, 53.846157, 0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [0.0, 14.285715, 36.363636, 12.5, 0.0, 0.0, 0.0, 36.842106, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [436.0432, 902.9286, 538.02435, 738.10895, 434.76105, 434.57507, 435.1872, 579.97125, 434.96735, 435.80106, 436.41525, 434.79706, 435.06973, 663.0049, 435.23035]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [436.0432, 441.3149, 451.4495, 442.46146, 434.76105, 434.57507, 435.1872, 478.0692, 434.96735, 435.80106, 436.41525, 434.79706, 435.06973, 443.46762, 435.23035]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [436.0432, 441.3149, 451.4495, 442.46146, 434.76105, 434.57507, 435.1872, 435.6861, 434.96735, 435.80106, 436.41525, 434.79706, 435.06973, 443.46762, 435.23035]
KEYBOARD_TYPE: leapAirDynamic
PRACTICE_WORDS_PER_INPUT: 9
WORD_ORDER: [gin, fore, gales, pens, rocker, nailed, fibs, hale, tinned, fires, topped, zit, calls, due, shire]
NUMBER_OF_TIMES_PLANE_BREACHED: [1, 1, 4, 8, 3, 7, 1, 4, 1, 1, 1, 1, 1, 1, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [14.638665, 13.748003, 29.02075, 41.778984, 37.77263, 57.118423, 16.546017, 33.370464, 22.994234, 16.877157, 19.87544, 15.976884, 24.01944, 14.285673, 16.975203]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [14.638665, 13.748003, 29.02075, 37.11026, 37.77263, 57.118423, 16.546017, 33.370464, 22.994234, 16.877157, 19.87544, 15.976884, 24.01944, 14.285673, 16.975203]
TIME_DURATION_TOUCH_ONLY: [2.1861577, 1.7846017, 4.3820567, 4.853363, 5.0677066, 7.8870616, 2.4998775, 4.368947, 2.7353554, 2.2324855, 2.2186234, 1.8666036, 2.5353806, 1.5503907, 1.9850754]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [2.1861577, 1.7846017, 4.3820567, 3.3702593, 5.0677066, 7.8870616, 2.4998775, 4.368947, 2.7353554, 2.2324855, 2.2186234, 1.8666036, 2.5353806, 1.5503907, 1.9850754]
AVERAGE_PIXEL_VELOCITY: [6.702151, 7.7058167, 6.6178393, 5.08337, 7.4505076, 7.2434745, 6.615802, 7.6391716, 8.408615, 7.5541224, 8.963471, 8.554683, 9.478489, 9.210025, 8.55298]
REACTION_TIME_FIRST_PRESSED: [1.5457847, 1.76733, 1.2837552, 8.286816, 1.8006476, 2.0174115, 1.8673962, 1.8840253, 1.4505534, 1.3838099, 2.4676378, 1.8506818, 1.7006156, 1.2337344, 1.2003462]
REACTION_TIME_FIRST_TOUCH: [1.5457847, 1.76733, 1.2837552, 1.2670735, 1.8006476, 2.0174115, 1.8673962, 1.8840253, 1.4505534, 1.3838099, 2.4676378, 1.8506818, 1.7006156, 1.2337344, 1.2003462]
AVERAGE_REACTION_TIME_TO_ERRORS: [0.0, 0.0, 3.2680018, 1.923019, 2.85113, 1.6256518, 0.0, 1.2004503, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TEXT_ENTRY_RATE_WPM: [10.978165, 20.17257, 10.953761, 7.417537, 11.839675, 7.607396, 14.400706, 8.239971, 21.934994, 21.5007, 27.043797, 12.857577, 18.932068, 15.47997, 24.18044]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [10.978165, 20.17257, 10.953761, 10.68167, 11.839675, 7.607396, 14.400706, 8.239971, 21.934994, 21.5007, 27.043797, 12.857577, 18.932068, 15.47997, 24.18044]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [16.467247, 26.896757, 13.692202, 4.0427504, 14.20761, 9.128875, 19.200941, 10.9866295, 26.321991, 26.875875, 32.452557, 19.286367, 23.665087, 23.219954, 30.225554]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [16.467247, 26.896757, 13.692202, 4.6198263, 14.20761, 9.128875, 19.200941, 10.9866295, 26.321991, 26.875875, 32.452557, 19.286367, 23.665087, 23.219954, 30.225554]
ERROR_RATE_KSPC: [1.0, 1.0, 1.8, 4.5, 1.3333334, 3.0, 1.0, 2.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 1.0, 1.8, 2.142857, 1.3333334, 3.0, 1.0, 2.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 0.0, 0.0, 42.857143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [0.0, 0.0, 22.222223, 38.88889, 12.5, 33.333336, 0.0, 30.000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE: [0.0, 0.0, 28.57143, 63.636364, 14.285715, 50.0, 0.0, 42.857143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [0.0, 0.0, 28.57143, 63.636364, 14.285715, 50.0, 0.0, 42.857143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [0.0, 0.0, 22.222223, 38.88889, 12.5, 33.333336, 0.0, 30.000002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
FRECHET_DISTANCE_TOUCH_ONLY: [104.11843, 179.86661, 322.67487, 433.55252, 329.4088, 430.5094, 149.85011, 357.00854, 180.23875, 149.78433, 249.9368, 210.78436, 293.9598, 146.19481, 144.71765]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [104.11843, 179.86661, 322.67487, 255.3527, 329.4088, 430.5094, 149.85011, 357.00854, 180.23875, 149.78433, 249.9368, 210.78436, 293.9598, 146.19481, 144.71765]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [104.11843, 179.86661, 290.60727, 255.3527, 204.66452, 410.88965, 149.85011, 358.6215, 180.23875, 149.78433, 249.9368, 210.78436, 293.9598, 146.19481, 144.71765]
KEYBOARD_TYPE: leapAirBimodal
