PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 221780778890400
TIME_WORD_START: 221780785372747; WORD_VALUE: the
TIME_SPECIAL: 221783516304317; POINT_POSITION: (263.959, 242.101, 17.2436); TOOL_DIRECTION: (-0.0482606, 0.183338, -0.981865)
TIME_SPECIAL: 221783540115596; POINT_POSITION: (259.157, 242.965, 17.5853); TOOL_DIRECTION: (-0.049518, 0.184785, -0.981531)
TIME_SPECIAL: 221783558263330; POINT_POSITION: (257.824, 243.194, 17.262); TOOL_DIRECTION: (-0.0489952, 0.183498, -0.981798)
TIME_SPECIAL: 221783579007649; POINT_POSITION: (257.557, 243.265, 17.0209); TOOL_DIRECTION: (-0.0477352, 0.18347, -0.981866)
TIME_SPECIAL: 221783600560236; POINT_POSITION: (257.287, 243.205, 16.9197); TOOL_DIRECTION: (-0.0465881, 0.183244, -0.981963)
TIME_SPECIAL: 221783622528504; POINT_POSITION: (257.297, 243.247, 16.7987); TOOL_DIRECTION: (-0.0460468, 0.183671, -0.981909)
TIME_SPECIAL: 221783643274849; POINT_POSITION: (257.43, 243.274, 16.7853); TOOL_DIRECTION: (-0.0453178, 0.184481, -0.981791)
TIME_SPECIAL: 221783665239470; POINT_POSITION: (257.353, 243.206, 16.8101); TOOL_DIRECTION: (-0.0450681, 0.185201, -0.981667)
TIME_SPECIAL: 221783686217964; POINT_POSITION: (257.257, 243.046, 16.6479); TOOL_DIRECTION: (-0.0450002, 0.184106, -0.981876)
TIME_SPECIAL: 221783705690933; POINT_POSITION: (256.948, 243.048, 16.6276); TOOL_DIRECTION: (-0.0466118, 0.184323, -0.98176)
TIME_SPECIAL: 221783725933275; POINT_POSITION: (256.853, 243.101, 16.6832); TOOL_DIRECTION: (-0.0481337, 0.185113, -0.981538)
TIME_SPECIAL: 221783744097215; POINT_POSITION: (256.954, 243.111, 16.7645); TOOL_DIRECTION: (-0.0486131, 0.185775, -0.981389)
TIME_SPECIAL: 221783762329220; POINT_POSITION: (257.096, 243.01, 16.7805); TOOL_DIRECTION: (-0.0484494, 0.18514, -0.981517)
TIME_SPECIAL: 221783781404740; POINT_POSITION: (256.918, 242.027, 16.9243); TOOL_DIRECTION: (-0.0490658, 0.180893, -0.982278)
TIME_SPECIAL: 221783800001377; POINT_POSITION: (255.302, 241.697, 19.7646); TOOL_DIRECTION: (-0.0533007, 0.184556, -0.981376)
TIME_SPECIAL: 221783819479613; POINT_POSITION: (254.625, 240.815, 27.044); TOOL_DIRECTION: (-0.0528702, 0.183057, -0.98168)
TIME_SPECIAL: 221783839324101; POINT_POSITION: (252.651, 241.463, 38.3695); TOOL_DIRECTION: (-0.0579839, 0.194053, -0.979276)
TIME_SPECIAL: 221783858062540; POINT_POSITION: (249.82, 242.79, 54.9932); TOOL_DIRECTION: (-0.0637615, 0.204313, -0.976827)
TIME_PRESSED: 221783858177196; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 221783858469712; WORD_VALUE: the
TIME_WORD_START: 221783858606246; WORD_VALUE: brown
TIME_SPECIAL: 221783887692940; POINT_POSITION: (245.102, 245.114, 86.5364); TOOL_DIRECTION: (-0.0746304, 0.2249, -0.97152)
TIME_SPECIAL: 221783909213116; POINT_POSITION: (245.102, 245.114, 86.5364); TOOL_DIRECTION: (-0.0746304, 0.2249, -0.97152)
TIME_SPECIAL: 221783937909653; POINT_POSITION: (241.382, 247.152, 126.762); TOOL_DIRECTION: (-0.0882908, 0.25357, -0.963279)
TIME_SPECIAL: 221783959866577; POINT_POSITION: (243.011, 245.558, 150.35); TOOL_DIRECTION: (-0.0906529, 0.261231, -0.96101)
TIME_SPECIAL: 221783983735387; POINT_POSITION: (245.245, 242.737, 185.593); TOOL_DIRECTION: (-0.0958657, 0.271885, -0.957543)
TIME_SPECIAL: 221784010005907; POINT_POSITION: (246.656, 239.131, 209.442); TOOL_DIRECTION: (-0.10277, 0.273243, -0.956439)
TIME_SPECIAL: 221784033130462; POINT_POSITION: (251.826, 231.479, 242.075); TOOL_DIRECTION: (-0.106749, 0.269821, -0.956975)
TIME_SPECIAL: 221784057893837; POINT_POSITION: (257.45, 226.666, 263.948); TOOL_DIRECTION: (-0.109354, 0.267351, -0.957374)
