PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 222589801252875
TIME_WORD_START: 222589813891020; WORD_VALUE: the
TIME_SPECIAL: 222594767754134; POINT_POSITION: (438.959, 142.704, 0); TOOL_DIRECTION: (0.0808238, -0.24012, -0.967373)
TIME_SPECIAL: 222594795347457; POINT_POSITION: (425.601, 151.275, 0); TOOL_DIRECTION: (0.0729968, -0.228831, -0.970725)
TIME_SPECIAL: 222594825690916; POINT_POSITION: (411.168, 161.092, 0); TOOL_DIRECTION: (0.0658957, -0.220316, -0.9732)
TIME_SPECIAL: 222594862005832; POINT_POSITION: (398.755, 169.526, 0); TOOL_DIRECTION: (0.0622479, -0.210781, -0.975549)
TIME_SPECIAL: 222594896053952; POINT_POSITION: (385.464, 180.782, 0); TOOL_DIRECTION: (0.0558508, -0.19247, -0.979712)
TIME_SPECIAL: 222594932207619; POINT_POSITION: (378.449, 187.791, 0); TOOL_DIRECTION: (0.0548422, -0.186321, -0.980957)
TIME_SPECIAL: 222594964094687; POINT_POSITION: (369.934, 198.438, 0); TOOL_DIRECTION: (0.0519448, -0.17302, -0.983548)
TIME_PRESSED: 222594965385890; KEY_PRESSED: VK_R; KEY_EXPECTED: VK_R
TIME_SPECIAL: 222595062799352; POINT_POSITION: (360.798, 211.593, 0); TOOL_DIRECTION: (0.0528479, -0.158735, -0.985906)
TIME_SPECIAL: 222595102008636; POINT_POSITION: (359.065, 216.782, 0); TOOL_DIRECTION: (0.0506327, -0.144871, -0.988154)
TIME_SPECIAL: 222595136164930; POINT_POSITION: (362.566, 220.142, 0); TOOL_DIRECTION: (0.0575423, -0.148286, -0.987269)
TIME_SPECIAL: 222595175036726; POINT_POSITION: (368.131, 223.067, 0); TOOL_DIRECTION: (0.0592965, -0.144294, -0.987757)
TIME_SPECIAL: 222595210585915; POINT_POSITION: (373.657, 226.07, 0); TOOL_DIRECTION: (0.0603309, -0.140853, -0.988191)
TIME_SPECIAL: 222595240892505; POINT_POSITION: (377.835, 227.864, 0); TOOL_DIRECTION: (0.0609578, -0.138296, -0.988513)
TIME_SPECIAL: 222595273666034; POINT_POSITION: (380.783, 233.542, 0); TOOL_DIRECTION: (0.0570517, -0.123655, -0.990684)
TIME_SPECIAL: 222595312168336; POINT_POSITION: (380.175, 236.266, 0); TOOL_DIRECTION: (0.0549448, -0.120146, -0.991235)
TIME_SPECIAL: 222595350627693; POINT_POSITION: (379.058, 238.061, 0); TOOL_DIRECTION: (0.0530572, -0.116792, -0.991738)
TIME_SPECIAL: 222595385806983; POINT_POSITION: (379.284, 240.338, 0); TOOL_DIRECTION: (0.0541183, -0.11357, -0.992055)
TIME_SPECIAL: 222595428987109; POINT_POSITION: (403.701, 242.644, 0); TOOL_DIRECTION: (0.0679714, -0.117615, -0.99073)
TIME_SPECIAL: 222595461786161; POINT_POSITION: (431.009, 241.753, 0); TOOL_DIRECTION: (0.08094, -0.121385, -0.9893)
TIME_SPECIAL: 222595494814527; POINT_POSITION: (465.34, 241.429, 0); TOOL_DIRECTION: (0.0966831, -0.121255, -0.987902)
TIME_SPECIAL: 222595530853538; POINT_POSITION: (501.218, 241.311, 0); TOOL_DIRECTION: (0.113146, -0.12231, -0.986021)
TIME_SPECIAL: 222595560357533; POINT_POSITION: (526.334, 241.366, 0); TOOL_DIRECTION: (0.125187, -0.12246, -0.984546)
TIME_SPECIAL: 222595592327251; POINT_POSITION: (556.826, 242.248, 0); TOOL_DIRECTION: (0.137756, -0.120319, -0.983131)
TIME_SPECIAL: 222595626671128; POINT_POSITION: (582.691, 243.138, 0); TOOL_DIRECTION: (0.150244, -0.119593, -0.981389)
TIME_SPECIAL: 222595659965675; POINT_POSITION: (600.81, 243.657, 0); TOOL_DIRECTION: (0.158734, -0.119322, -0.980084)
TIME_SPECIAL: 222595690606917; POINT_POSITION: (618.555, 244.69, 0); TOOL_DIRECTION: (0.166091, -0.117294, -0.97911)
TIME_SPECIAL: 222595724824389; POINT_POSITION: (641.129, 245.965, 0); TOOL_DIRECTION: (0.175417, -0.116673, -0.977556)
TIME_PRESSED: 222595725090165; KEY_PRESSED: VK_O; KEY_EXPECTED: VK_O
TIME_SPECIAL: 222595789656767; POINT_POSITION: (667.708, 246.933, 0); TOOL_DIRECTION: (0.186008, -0.11682, -0.975579)
TIME_SPECIAL: 222595822171812; POINT_POSITION: (672.092, 247.615, 0); TOOL_DIRECTION: (0.186614, -0.116403, -0.975513)
TIME_SPECIAL: 222595857092618; POINT_POSITION: (666.284, 248.304, 0); TOOL_DIRECTION: (0.182373, -0.115746, -0.976393)
TIME_SPECIAL: 222595890946673; POINT_POSITION: (657.129, 248.824, 0); TOOL_DIRECTION: (0.178039, -0.114098, -0.977386)
TIME_SPECIAL: 222595925681922; POINT_POSITION: (642.477, 249.574, 0); TOOL_DIRECTION: (0.171512, -0.115242, -0.978419)
TIME_SPECIAL: 222595956363679; POINT_POSITION: (628.385, 250.127, 0); TOOL_DIRECTION: (0.166243, -0.116421, -0.979188)
TIME_SPECIAL: 222595983964700; POINT_POSITION: (623.448, 250.341, 0); TOOL_DIRECTION: (0.163446, -0.116741, -0.979621)
TIME_SPECIAL: 222596018019707; POINT_POSITION: (591.589, 251.849, 0); TOOL_DIRECTION: (0.150703, -0.115699, -0.981785)
TIME_SPECIAL: 222596051097096; POINT_POSITION: (570.088, 251.966, 0); TOOL_DIRECTION: (0.142549, -0.115809, -0.982989)
TIME_SPECIAL: 222596086814826; POINT_POSITION: (535.822, 251.492, 0); TOOL_DIRECTION: (0.128593, -0.119711, -0.984446)
TIME_SPECIAL: 222596117304948; POINT_POSITION: (505.675, 251.479, 0); TOOL_DIRECTION: (0.116335, -0.118359, -0.986133)
TIME_SPECIAL: 222596151697442; POINT_POSITION: (463.617, 250.609, 0); TOOL_DIRECTION: (0.0994734, -0.118821, -0.98792)
TIME_SPECIAL: 222596188712452; POINT_POSITION: (423.943, 249.272, 0); TOOL_DIRECTION: (0.0853397, -0.126851, -0.988244)
TIME_SPECIAL: 222596219516562; POINT_POSITION: (388.077, 249.253, 0); TOOL_DIRECTION: (0.0716221, -0.127975, -0.989188)
TIME_SPECIAL: 222596252006488; POINT_POSITION: (362.24, 249.659, 0); TOOL_DIRECTION: (0.0616407, -0.127428, -0.989931)
