PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 222941053257743
TIME_WORD_START: 222941074517409; WORD_VALUE: the
TIME_PRESSED: 222945121998977; KEY_PRESSED: VK_ENTER; KEY_EXPECTED: VK_ENTER
TIME_WORD_END: 222945122482317; WORD_VALUE: the
TIME_WORD_START: 222945122927168; WORD_VALUE: brown
TIME_SPECIAL: 222945197101418; POINT_POSITION: (260.058, 245.015, 434.558); TOOL_DIRECTION: (-0.0725341, -0.188199, -0.979449)
TIME_SPECIAL: 222945249319961; POINT_POSITION: (260.082, 245.149, 434.558); TOOL_DIRECTION: (-0.0769176, -0.175174, -0.981528)
TIME_SPECIAL: 222945295962065; POINT_POSITION: (259.949, 245.962, 434.558); TOOL_DIRECTION: (-0.0742688, -0.176072, -0.981572)
TIME_SPECIAL: 222945341931625; POINT_POSITION: (265.998, 245.18, 434.558); TOOL_DIRECTION: (-0.0687133, -0.182085, -0.980879)
TIME_SPECIAL: 222945390560163; POINT_POSITION: (293.176, 240.61, 434.558); TOOL_DIRECTION: (-0.0589192, -0.191172, -0.979787)
TIME_SPECIAL: 222945443357255; POINT_POSITION: (320.725, 227.451, 434.558); TOOL_DIRECTION: (-0.0447448, -0.215829, -0.975405)
TIME_SPECIAL: 222945488329750; POINT_POSITION: (345.937, 214.262, 434.558); TOOL_DIRECTION: (-0.0265831, -0.242368, -0.96982)
TIME_SPECIAL: 222945533606105; POINT_POSITION: (372.038, 199.491, 434.558); TOOL_DIRECTION: (-0.0160488, -0.247542, -0.968744)
TIME_SPECIAL: 222945586028031; POINT_POSITION: (402.588, 180.296, 434.558); TOOL_DIRECTION: (-0.00068731, -0.277391, -0.960757)
TIME_SPECIAL: 222945622863155; POINT_POSITION: (420.007, 169.185, 434.558); TOOL_DIRECTION: (0.00719902, -0.289347, -0.957197)
TIME_SPECIAL: 222945652226969; POINT_POSITION: (431.723, 162.993, 434.558); TOOL_DIRECTION: (0.0134384, -0.295252, -0.955325)
TIME_SPECIAL: 222945685096923; POINT_POSITION: (446.65, 156.474, 434.558); TOOL_DIRECTION: (0.0202857, -0.300254, -0.953644)
TIME_SPECIAL: 222945715415668; POINT_POSITION: (455.366, 152.246, 434.558); TOOL_DIRECTION: (0.0245588, -0.30677, -0.951467)
TIME_SPECIAL: 222945749021368; POINT_POSITION: (462.656, 149.219, 434.558); TOOL_DIRECTION: (0.0270218, -0.309108, -0.950643)
TIME_SPECIAL: 222945783375374; POINT_POSITION: (466.768, 146.088, 434.558); TOOL_DIRECTION: (0.0297243, -0.315135, -0.948581)
TIME_SPECIAL: 222945813903174; POINT_POSITION: (469.384, 144.907, 434.558); TOOL_DIRECTION: (0.0292163, -0.313513, -0.949134)
TIME_SPECIAL: 222945843139773; POINT_POSITION: (472.245, 142.756, 434.558); TOOL_DIRECTION: (0.0326993, -0.319702, -0.946954)
TIME_SPECIAL: 222945875273170; POINT_POSITION: (474.962, 140.827, 434.558); TOOL_DIRECTION: (0.0350091, -0.319366, -0.946985)
TIME_SPECIAL: 222945905299399; POINT_POSITION: (479.99, 136.688, 434.558); TOOL_DIRECTION: (0.0400784, -0.330584, -0.942925)
TIME_SPECIAL: 222945938310343; POINT_POSITION: (483.637, 132.957, 434.558); TOOL_DIRECTION: (0.0417233, -0.336752, -0.940669)
TIME_SPECIAL: 222945969795506; POINT_POSITION: (488.841, 128.687, 434.558); TOOL_DIRECTION: (0.0453671, -0.34504, -0.937491)
TIME_SPECIAL: 222946001351569; POINT_POSITION: (493.182, 123.982, 434.558); TOOL_DIRECTION: (0.0487534, -0.35219, -0.934658)
TIME_SPECIAL: 222946035008317; POINT_POSITION: (497.551, 117.475, 434.558); TOOL_DIRECTION: (0.052985, -0.366996, -0.928712)
TIME_SPECIAL: 222946064221417; POINT_POSITION: (499.813, 114.508, 434.558); TOOL_DIRECTION: (0.0564004, -0.372389, -0.926361)
TIME_SPECIAL: 222946098234289; POINT_POSITION: (501.601, 111.97, 434.558); TOOL_DIRECTION: (0.0574797, -0.3746, -0.925403)
TIME_SPECIAL: 222946152860619; POINT_POSITION: (502.078, 111.274, 434.558); TOOL_DIRECTION: (0.0566181, -0.37397, -0.925711)
TIME_SPECIAL: 222946185481002; POINT_POSITION: (502.509, 111.474, 434.558); TOOL_DIRECTION: (0.0558172, -0.363112, -0.930072)
TIME_SPECIAL: 222946219818802; POINT_POSITION: (502.167, 112.075, 434.558); TOOL_DIRECTION: (0.0540836, -0.354899, -0.933339)
TIME_SPECIAL: 222946255438081; POINT_POSITION: (501.263, 113.379, 434.558); TOOL_DIRECTION: (0.050759, -0.348623, -0.935888)
