PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 221966136902702
TIME_WORD_START: 221966143975752; WORD_VALUE: the
TIME_SPECIAL: 221971268691643; POINT_POSITION: (508.236, 93.0026, 67.2811); TOOL_DIRECTION: (0.162973, -0.358917, -0.919031)
TIME_SPECIAL: 221971309115556; POINT_POSITION: (508.278, 96.1676, 56.571); TOOL_DIRECTION: (0.162988, -0.346662, -0.923721)
TIME_SPECIAL: 221971352560648; POINT_POSITION: (510.979, 97.7533, 48.9774); TOOL_DIRECTION: (0.166402, -0.342748, -0.924572)
TIME_SPECIAL: 221971387968035; POINT_POSITION: (516.168, 98.8189, 28.1584); TOOL_DIRECTION: (0.168444, -0.334267, -0.927304)
TIME_SPECIAL: 221971429880052; POINT_POSITION: (518.468, 99.4025, 26.4917); TOOL_DIRECTION: (0.17056, -0.331915, -0.927762)
TIME_SPECIAL: 221971466180382; POINT_POSITION: (519.434, 100.145, 25.2754); TOOL_DIRECTION: (0.170794, -0.327551, -0.929268)
TIME_SPECIAL: 221971503889002; POINT_POSITION: (519.401, 100.795, 21.183); TOOL_DIRECTION: (0.16969, -0.32187, -0.931453)
TIME_SPECIAL: 221971546597943; POINT_POSITION: (518.759, 100.772, 15.5824); TOOL_DIRECTION: (0.169027, -0.317498, -0.933073)
TIME_SPECIAL: 221971587459009; POINT_POSITION: (516.17, 100.559, 10.0096); TOOL_DIRECTION: (0.166726, -0.316297, -0.933894)
TIME_SPECIAL: 221971627342861; POINT_POSITION: (510.825, 99.7596, 2.8162); TOOL_DIRECTION: (0.163039, -0.323204, -0.932179)
TIME_PRESSED: 221971627723294; KEY_PRESSED: VK_B; KEY_EXPECTED: VK_B
TIME_SPECIAL: 221971694576544; POINT_POSITION: (500.484, 103.019, 0); TOOL_DIRECTION: (0.157791, -0.318507, -0.934695)
TIME_SPECIAL: 221971735134561; POINT_POSITION: (497.434, 103.505, 0); TOOL_DIRECTION: (0.156929, -0.318483, -0.934849)
TIME_SPECIAL: 221971776047081; POINT_POSITION: (490.509, 105.36, 0); TOOL_DIRECTION: (0.153434, -0.315246, -0.936524)
TIME_SPECIAL: 221971811547247; POINT_POSITION: (477.803, 110.708, 0); TOOL_DIRECTION: (0.14877, -0.309932, -0.939047)
TIME_SPECIAL: 221971846579873; POINT_POSITION: (469.483, 115.304, 0); TOOL_DIRECTION: (0.144629, -0.302365, -0.942156)
TIME_SPECIAL: 221971881716217; POINT_POSITION: (453.913, 122.944, 0); TOOL_DIRECTION: (0.136554, -0.291797, -0.946682)
TIME_SPECIAL: 221971920425549; POINT_POSITION: (433.694, 133.137, 0); TOOL_DIRECTION: (0.125491, -0.277134, -0.952601)
