TIME_EXPERIMENT_START: 312860313893451
TIME_WORD_START: 312860319066769 WORD_VALUE: the
TIME_SPECIAL: 312871378140798 POINT_POSITION: (673, 111, 0)
TIME_PRESSED: 312871378748113 KEY_PRESSED: VK_BACK_SPACE KEY_EXPECTED: VK_BACK_SPACE KEY_PRESSED_UPPER: false KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 312871416255375 POINT_POSITION: (673, 111, 0)
TIME_SPECIAL: 312871442265385 POINT_POSITION: (673, 111, 0)
TIME_SPECIAL: 312871468677301 POINT_POSITION: (673, 111, 0)
TIME_SPECIAL: 312871658482434 POINT_POSITION: (673, 111, 0)
TIME_PRESSED: 312871659239653 KEY_PRESSED: VK_BACK_SPACE KEY_EXPECTED: VK_BACK_SPACE KEY_PRESSED_UPPER: false KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 312871695277853 POINT_POSITION: (673, 111, 0)
TIME_SPECIAL: 312871718297071 POINT_POSITION: (673, 111, 0)
TIME_SPECIAL: 312871744332200 POINT_POSITION: (673, 111, 0)
TIME_SPECIAL: 312871773026712 POINT_POSITION: (673, 111, 0)
TIME_SPECIAL: 312872548227442 POINT_POSITION: (642, 272, 0)
TIME_PRESSED: 312872548568576 KEY_PRESSED: VK_O KEY_EXPECTED: VK_O KEY_PRESSED_UPPER: false KEY_EXPECTED_UPPER: false
TIME_SPECIAL: 312872594614304 POINT_POSITION: (638, 257, 0)
TIME_SPECIAL: 312872632102524 POINT_POSITION: (570, 245, 0)
TIME_SPECIAL: 312872656852529 POINT_POSITION: (535, 235, 0)
TIME_SPECIAL: 312872682898192 POINT_POSITION: (489, 220, 0)
TIME_SPECIAL: 312872711555025 POINT_POSITION: (456, 210, 0)
TIME_SPECIAL: 312872735720403 POINT_POSITION: (456, 210, 0)
TIME_SPECIAL: 312872757742960 POINT_POSITION: (427, 201, 0)
TIME_SPECIAL: 312872783648848 POINT_POSITION: (398, 198, 0)
TIME_SPECIAL: 312872811347104 POINT_POSITION: (356, 189, 0)
TIME_SPECIAL: 312872836582474 POINT_POSITION: (339, 183, 0)
TIME_SPECIAL: 312872863985784 POINT_POSITION: (323, 179, 0)
TIME_SPECIAL: 312872889377945 POINT_POSITION: (315, 175, 0)
TIME_SPECIAL: 312872910901767 POINT_POSITION: (315, 175, 0)
TIME_SPECIAL: 312872938508460 POINT_POSITION: (301, 170, 0)
