PRACTICE_WORD_COUNT: 0
TIME_EXPERIMENT_START: 181479450601278
TIME_WORD_START: 181479469178873; WORD_VALUE: the
TIME_SPECIAL: 181486192265993; POINT_POSITION: (533.971, 107.206, 0); TOOL_DIRECTION: (0.00825366, 0.13777, -0.99043)
TIME_SPECIAL: 181486225406584; POINT_POSITION: (528.903, 106.617, 0); TOOL_DIRECTION: (0.00583938, 0.131011, -0.991364)
TIME_SPECIAL: 181486256894178; POINT_POSITION: (525.699, 108.168, 0); TOOL_DIRECTION: (0.00653301, 0.133541, -0.991022)
TIME_SPECIAL: 181486291351091; POINT_POSITION: (527.927, 112.643, 0); TOOL_DIRECTION: (0.0115617, 0.146336, -0.989167)
TIME_SPECIAL: 181486324734365; POINT_POSITION: (526.558, 114.435, 0); TOOL_DIRECTION: (0.0127617, 0.150878, -0.98847)
TIME_SPECIAL: 181486360612533; POINT_POSITION: (523.885, 116.611, 0); TOOL_DIRECTION: (0.0134462, 0.156972, -0.987511)
TIME_SPECIAL: 181486392116737; POINT_POSITION: (521.166, 116.125, 0); TOOL_DIRECTION: (0.0159197, 0.152446, -0.988184)
TIME_SPECIAL: 181486427009993; POINT_POSITION: (515.989, 117.426, 0); TOOL_DIRECTION: (0.0143895, 0.152084, -0.988263)
TIME_SPECIAL: 181486466275592; POINT_POSITION: (509.333, 120.999, 0); TOOL_DIRECTION: (0.0109499, 0.160846, -0.986919)
TIME_SPECIAL: 181486501299305; POINT_POSITION: (503.954, 123.251, 0); TOOL_DIRECTION: (0.00943871, 0.16317, -0.986553)
TIME_SPECIAL: 181486536412961; POINT_POSITION: (496.274, 123.3, 0); TOOL_DIRECTION: (0.0123965, 0.156272, -0.987636)
