TIME_EXPERIMENT_START: 14895102190570
TIME_WORD_START: 14895105553667; WORD_VALUE: the
TIME_SPECIAL: 14897503297260; POINT_POSITION: (240.567, 245.38, 0); TOOL_DIRECTION: (-0.126115, 0.0341161, -0.991429)
TIME_SPECIAL: 14897518568336; POINT_POSITION: (232.581, 247.643, 0); TOOL_DIRECTION: (-0.126753, 0.031903, -0.991421)
TIME_SPECIAL: 14897533145400; POINT_POSITION: (225.445, 249.906, 0); TOOL_DIRECTION: (-0.12726, 0.0300747, -0.991413)
TIME_SPECIAL: 14897546694211; POINT_POSITION: (221.984, 251.223, 0); TOOL_DIRECTION: (-0.127818, 0.0302736, -0.991336)
TIME_SPECIAL: 14897561844553; POINT_POSITION: (216.764, 253.037, 0); TOOL_DIRECTION: (-0.126117, 0.0282827, -0.991612)
TIME_SPECIAL: 14897575525035; POINT_POSITION: (213.498, 254.156, 0); TOOL_DIRECTION: (-0.123074, 0.0253071, -0.992075)
TIME_SPECIAL: 14897588918675; POINT_POSITION: (211.578, 255.169, 0); TOOL_DIRECTION: (-0.122603, 0.0258229, -0.99212)
TIME_SPECIAL: 14897602885594; POINT_POSITION: (207.8, 256.171, 0); TOOL_DIRECTION: (-0.121421, 0.0227839, -0.99234)
TIME_SPECIAL: 14897616744744; POINT_POSITION: (206.198, 256.649, 0); TOOL_DIRECTION: (-0.121724, 0.0220394, -0.992319)
TIME_SPECIAL: 14897633559011; POINT_POSITION: (202.869, 258.586, 0); TOOL_DIRECTION: (-0.119971, 0.0222789, -0.992527)
TIME_SPECIAL: 14897648544866; POINT_POSITION: (200.028, 258.697, 0); TOOL_DIRECTION: (-0.118443, 0.0177965, -0.992801)
TIME_SPECIAL: 14897662090030; POINT_POSITION: (198.117, 259.346, 0); TOOL_DIRECTION: (-0.116893, 0.0168152, -0.993002)
TIME_SPECIAL: 14897675343085; POINT_POSITION: (197.263, 259.812, 0); TOOL_DIRECTION: (-0.115984, 0.0171398, -0.993103)
TIME_SPECIAL: 14897690178631; POINT_POSITION: (196.093, 261.087, 0); TOOL_DIRECTION: (-0.114035, 0.01953, -0.993285)
TIME_SPECIAL: 14897705337887; POINT_POSITION: (197.151, 260.875, 0); TOOL_DIRECTION: (-0.11137, 0.0188691, -0.9936)
TIME_SPECIAL: 14897720178295; POINT_POSITION: (196.307, 262.05, 0); TOOL_DIRECTION: (-0.10938, 0.0203532, -0.993792)
TIME_SPECIAL: 14897733830417; POINT_POSITION: (195.593, 262.805, 0); TOOL_DIRECTION: (-0.107237, 0.0213043, -0.994005)
TIME_SPECIAL: 14897746790554; POINT_POSITION: (195.567, 262.992, 0); TOOL_DIRECTION: (-0.105623, 0.0214195, -0.994175)
TIME_SPECIAL: 14897757921467; POINT_POSITION: (195.567, 262.992, 0); TOOL_DIRECTION: (-0.105623, 0.0214195, -0.994175)
TIME_SPECIAL: 14897770555058; POINT_POSITION: (196.566, 262.925, 0); TOOL_DIRECTION: (-0.103013, 0.0211885, -0.994454)
TIME_SPECIAL: 14897782196858; POINT_POSITION: (196.751, 262.395, 0); TOOL_DIRECTION: (-0.101535, 0.0197694, -0.994635)
