KEYBOARD_TYPE: tablet
PRACTICE_WORDS_PER_INPUT: 10
WORD_ORDER: [dubbed, bale, find, mans, sires, hailed, core, sue, coy, sicker, falls, shier, tin, dipped, tales]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [33.333336, 0.0, 0.0, 25.0, 0.0, 38.88889, 0.0, 0.0, 0.0, 0.0, 12.5, 0.0, 0.0, 0.0, 12.5]
FRECHET_DISTANCE_TOUCH_ONLY: [726.5548, 240.77762, 146.18427, 450.63107, 251.74716, 535.686, 141.6746, 141.88101, 292.7288, 288.54456, 290.44247, 207.30219, 166.68875, 106.66664, 458.71683]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [404.85828, 240.77762, 146.18427, 450.63107, 251.74716, 380.53287, 141.6746, 141.88101, 292.7288, 288.54456, 290.44247, 207.30219, 166.68875, 106.66664, 458.71683]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [404.85828, 240.77762, 146.18427, 353.63998, 251.74716, 360.01962, 141.6746, 141.88101, 292.7288, 288.54456, 239.98517, 207.30219, 166.68875, 106.66664, 246.47781]
KEYBOARD_TYPE: leapAirPinch
PRACTICE_WORDS_PER_INPUT: 4
WORD_ORDER: [rocket, shift, fins, jailed, gale, sure, fit, finned, rim, gamma, soy, tipped, mane, cores, games]
NUMBER_OF_TIMES_PLANE_BREACHED: [1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4]
DISTANCE_TRAVELED_TOUCH_ONLY: [32.24165, 23.579504, 20.24088, 34.899544, 58.136154, 18.118225, 14.618202, 25.365484, 15.565736, 28.114014, 18.478615, 21.361689, 32.094257, 22.34402, 51.542027]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [32.24165, 23.579504, 20.24088, 34.899544, 58.136154, 18.118225, 14.618202, 25.365484, 15.565736, 28.114014, 18.478615, 21.361689, 32.094257, 22.34402, 51.542027]
TIME_DURATION_TOUCH_ONLY: [3.7667835, 2.2526984, 2.062376, 3.133064, 4.257416, 1.5892417, 1.3193656, 2.2165961, 1.4332633, 2.8078103, 1.6643075, 2.1531334, 2.7029788, 1.9836991, 2.8616867]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [3.7667835, 2.2526984, 2.062376, 3.133064, 4.257416, 1.5892417, 1.3193656, 2.2165961, 1.4332633, 2.8078103, 1.6643075, 2.1531334, 2.7029788, 1.9836991, 2.8616867]
AVERAGE_PIXEL_VELOCITY: [8.558701, 10.46819, 9.788896, 11.142089, 10.73335, 11.412134, 11.096737, 11.440618, 10.856946, 10.041164, 11.080841, 9.932116, 11.882939, 11.238245, 11.005871]
REACTION_TIME_FIRST_PRESSED: [1.4772216, 1.2503728, 1.1169165, 1.4671532, 4.701922, 1.9507403, 1.1002002, 1.1169589, 1.0169761, 0.9169344, 1.2670604, 0.9002732, 1.8173211, 1.2337303, 4.3849163]
REACTION_TIME_FIRST_TOUCH: [1.4772216, 1.2503728, 1.1169165, 1.4671532, 1.0169758, 1.9507403, 1.1002002, 1.1169589, 1.0169761, 0.9169344, 1.2670604, 0.9002732, 1.8173211, 1.2337303, 0.8835147]
AVERAGE_REACTION_TIME_TO_ERRORS: [0.0, 0.0, 0.0, 0.0, 1.9174628, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.483823]
TEXT_ENTRY_RATE_WPM: [15.92871, 21.30778, 17.455595, 19.150581, 8.455833, 22.652311, 18.19056, 27.068531, 16.745005, 17.095173, 14.420413, 27.866364, 13.318641, 24.197218, 16.773325]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST: [15.92871, 21.30778, 17.455595, 19.150581, 8.455833, 22.652311, 18.19056, 27.068531, 16.745005, 17.095173, 14.420413, 27.866364, 13.318641, 24.197218, 16.773325]
TEXT_ENTRY_RATE_MODIFIED_WPM_VULTURE: [19.114452, 26.634726, 23.274126, 22.9807, 6.0435424, 30.203085, 27.285843, 32.48224, 25.117506, 21.368965, 21.63062, 33.439636, 17.758184, 30.246525, 9.429383]
TEXT_ENTRY_RATE_MODIFIED_WPM_SHORTEST_VULTURE: [19.114452, 26.634726, 23.274126, 22.9807, 6.0435424, 30.203085, 27.285843, 32.48224, 25.117506, 21.368965, 21.63062, 33.439636, 17.758184, 30.246525, 9.429383]
ERROR_RATE_KSPC: [1.0, 1.0, 1.0, 1.0, 1.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.6666666]
ERROR_RATE_MODIFIED_KSPC_SHORTEST: [1.0, 1.0, 1.0, 1.0, 1.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.6666666]
ERROR_RATE_MODIFIED_MSD_SHORTEST: [0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.666668]
ERROR_RATE_MODIFIED_MSD_BACKSPACE: [0.0, 0.0, 0.0, 0.0, 33.333336, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000002]
TOTAL_ERROR_RATE: [0.0, 0.0, 0.0, 0.0, 42.857143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 37.5]
TOTAL_ERROR_RATE_MODIFIED_SHORTEST: [0.0, 0.0, 0.0, 0.0, 42.857143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 37.5]
TOTAL_ERROR_RATE_MODIFIED_BACKSPACE: [0.0, 0.0, 0.0, 0.0, 33.333336, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 30.000002]
FRECHET_DISTANCE_TOUCH_ONLY: [436.75632, 434.72235, 436.54327, 438.58682, 517.4257, 434.6107, 434.60236, 436.1789, 436.28445, 437.64697, 436.36728, 436.80295, 435.516, 435.8459, 552.5702]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_SHORTEST: [436.75632, 434.72235, 436.54327, 438.58682, 517.4257, 434.6107, 434.60236, 436.1789, 436.28445, 437.64697, 436.36728, 436.80295, 435.516, 435.8459, 552.5702]
FRECHET_DISTANCE_TOUCH_ONLY_MODIFIED_BACKSPACE: [436.75632, 434.72235, 436.54327, 438.58682, 437.4868, 434.6107, 434.60236, 436.1789, 436.28445, 437.64697, 436.36728, 436.80295, 435.516, 435.8459, 435.89246]
KEYBOARD_TYPE: leapAirDynamic
PRACTICE_WORDS_PER_INPUT: 15
WORD_ORDER: [nailed, gales, fibs, shire, pens, fires, calls, due, topped, fore, hale, zit, tinned, rocker, gin]
NUMBER_OF_TIMES_PLANE_BREACHED: [8, 1, 2, 1, 14, 1, 5, 1, 1, 1, 2, 1, 2, 1, 1]
DISTANCE_TRAVELED_TOUCH_ONLY: [55.44116, 30.84459, 28.199886, 16.258028, 89.29274, 18.157124, 49.388256, 10.474629, 15.5515375, 13.740181, 25.723423, 15.564018, 27.819677, 29.293339, 10.873597]
DISTANCE_TRAVELED_TOUCH_ONLY_SHORTEST: [52.50856, 30.84459, 24.74643, 16.258028, 89.29274, 18.157124, 49.388256, 10.474629, 15.5515375, 13.740181, 21.908207, 15.564018, 24.612816, 29.293339, 10.873597]
TIME_DURATION_TOUCH_ONLY: [3.4840412, 3.384926, 3.2580953, 2.0705903, 8.706884, 3.2347333, 3.5817614, 2.2655034, 3.049758, 2.5753927, 4.035899, 2.373152, 3.3309097, 3.7645545, 1.625139]
TIME_DURATION_TOUCH_ONLY_SHORTEST: [3.1563356, 3.384926, 2.8808587, 2.0705903, 8.706884, 3.2347333, 3.5817614, 2.2655034, 3.049758, 2.5753927, 3.3888793, 2.373152, 2.8271203, 3.7645545, 1.625139]
AVERAGE_PIXEL_VELOCITY: [10.659821, 9.117713, 8.628356, 7.8643985, 9.297589, 5.6135507, 7.715408, 4.6193376, 5.0974903, 5.3515663, 6.3736234, 6.576413, 8.342988, 7.7734184, 6.7230124]
REACTION_TIME_FIRST_PRESSED: [10.683286, 1.2503492, 2.017401, 1.7505671, 3.584747, 2.3008301, 13.605746, 1.1503712, 1.4671478, 1.3171017, 1.1003304, 2.7180107, 1.4005164, 1.8674113, 1.1337472]
REACTION_TIME_FIRST_TOUCH: [5.497733, 1.2503492, 2.017401, 1.7505671, 0.8835767, 2.3008301, 1.0836422, 1.1503712, 1.4671478, 1.3171017, 1.1003304, 2.7180107, 1.4005164, 1.8674113, 1.1337472]
AVERAGE_REACTION_TIME_TO_ERRORS: [1.2504213, 0.0, 1.050398, 0.0, 1.4380553, 0.0, 1.3338555, 0.0, 0.0, 0.0, 1.4672252, 0.0, 1.2171872, 0.0, 0.0]
TEXT_ENTRY_RATE_WPM: [17.22138, 14.180516, 11.049401, 23.181797, 4.1346593, 14.838936, 13.401227, 10.593673, 19.673693, 13.97845, 8.919945, 10.113132, 18.013098, 15.938141, 14.767969]
