PRACTICE_WORD_COUNT: 8
TIME_EXPERIMENT_START: 147748413571130
TIME_WORD_START: 147748414493292; WORD_VALUE: cocker
TIME_SPECIAL: 147750855441974; POINT_POSITION: (367.159, 92.8376, 6.32457); TOOL_DIRECTION: (-0.115962, -0.149362, -0.981959)
TIME_SPECIAL: 147750872065624; POINT_POSITION: (367.531, 92.0309, 5.79943); TOOL_DIRECTION: (-0.115841, -0.151006, -0.981722)
TIME_SPECIAL: 147750888825521; POINT_POSITION: (367.734, 91.0743, 5.31161); TOOL_DIRECTION: (-0.115932, -0.153134, -0.981382)
TIME_SPECIAL: 147750905487570; POINT_POSITION: (368.133, 90.231, 4.78665); TOOL_DIRECTION: (-0.114702, -0.153216, -0.981513)
TIME_SPECIAL: 147750922084767; POINT_POSITION: (368.93, 89.4056, 4.21031); TOOL_DIRECTION: (-0.11298, -0.154311, -0.981541)
TIME_SPECIAL: 147750938751936; POINT_POSITION: (369.987, 88.8568, 3.63435); TOOL_DIRECTION: (-0.1115, -0.152613, -0.981976)
TIME_SPECIAL: 147750955495051; POINT_POSITION: (370.771, 88.5128, 3.09728); TOOL_DIRECTION: (-0.111298, -0.151603, -0.982155)
TIME_SPECIAL: 147750972111590; POINT_POSITION: (371.175, 88.4011, 2.81073); TOOL_DIRECTION: (-0.110615, -0.150418, -0.982415)
TIME_PRESSED: 147750972206593; KEY_PRESSED: VK_C; KEY_EXPECTED: VK_C
TIME_SPECIAL: 147750988858971; POINT_POSITION: (371.937, 88.2154, 2.13718); TOOL_DIRECTION: (-0.11028, -0.148484, -0.982746)
TIME_SPECIAL: 147751005494568; POINT_POSITION: (373.167, 87.7399, 1.40142); TOOL_DIRECTION: (-0.107345, -0.149602, -0.982902)
TIME_SPECIAL: 147751022199283; POINT_POSITION: (374.272, 87.3955, 0.528754); TOOL_DIRECTION: (-0.106959, -0.147069, -0.983326)
TIME_SPECIAL: 147751038892052; POINT_POSITION: (375.208, 87.0637, 0); TOOL_DIRECTION: (-0.105983, -0.146401, -0.983532)
TIME_SPECIAL: 147751055570314; POINT_POSITION: (376.219, 86.5905, 0); TOOL_DIRECTION: (-0.104455, -0.145436, -0.983838)
TIME_SPECIAL: 147751072228950; POINT_POSITION: (377.162, 86.2878, 0); TOOL_DIRECTION: (-0.103499, -0.142647, -0.984347)
TIME_SPECIAL: 147751088876777; POINT_POSITION: (378.049, 85.9336, 0); TOOL_DIRECTION: (-0.102193, -0.140872, -0.984739)
TIME_SPECIAL: 147751105551058; POINT_POSITION: (379.082, 85.8305, 0); TOOL_DIRECTION: (-0.100683, -0.13675, -0.985476)
TIME_SPECIAL: 147751122223062; POINT_POSITION: (380.052, 86.1846, 0); TOOL_DIRECTION: (-0.10025, -0.130854, -0.98632)
TIME_SPECIAL: 147751138880276; POINT_POSITION: (381.187, 86.2046, 0); TOOL_DIRECTION: (-0.0991464, -0.127871, -0.986823)
TIME_SPECIAL: 147751155565081; POINT_POSITION: (382.137, 85.4875, 0); TOOL_DIRECTION: (-0.0980602, -0.127447, -0.986986)
TIME_SPECIAL: 147751172269227; POINT_POSITION: (382.536, 84.2553, 0); TOOL_DIRECTION: (-0.0977348, -0.128221, -0.986918)
TIME_SPECIAL: 147751188924450; POINT_POSITION: (382.624, 83.5994, 0); TOOL_DIRECTION: (-0.0974963, -0.128605, -0.986892)
