PRACTICE_WORD_COUNT: 10
TIME_EXPERIMENT_START: 149445923058412
TIME_WORD_START: 149445923886423; WORD_VALUE: yells
TIME_SPECIAL: 149448735191517; POINT_POSITION: (730.827, 190.579, 0); TOOL_DIRECTION: (0.166719, -0.20522, -0.964412)
TIME_SPECIAL: 149448751847309; POINT_POSITION: (722.08, 190.553, 0); TOOL_DIRECTION: (0.161864, -0.205502, -0.965178)
TIME_SPECIAL: 149448768543491; POINT_POSITION: (705.939, 190.378, 0); TOOL_DIRECTION: (0.149612, -0.209895, -0.966209)
TIME_SPECIAL: 149448785181647; POINT_POSITION: (679.546, 190.316, 0); TOOL_DIRECTION: (0.130835, -0.211752, -0.968526)
TIME_SPECIAL: 149448801859056; POINT_POSITION: (652.531, 190.282, 0); TOOL_DIRECTION: (0.109522, -0.211794, -0.971158)
TIME_SPECIAL: 149448818488679; POINT_POSITION: (637.648, 190.136, 0); TOOL_DIRECTION: (0.0968302, -0.213436, -0.972147)
TIME_SPECIAL: 149448835264505; POINT_POSITION: (607.604, 190.07, 0); TOOL_DIRECTION: (0.0719955, -0.215639, -0.973815)
TIME_SPECIAL: 149448851841222; POINT_POSITION: (578.565, 188.902, 0); TOOL_DIRECTION: (0.0498785, -0.227184, -0.972574)
TIME_SPECIAL: 149448868568693; POINT_POSITION: (552.342, 188.367, 0); TOOL_DIRECTION: (0.0316886, -0.231512, -0.972316)
TIME_SPECIAL: 149448885266013; POINT_POSITION: (529.498, 189.611, 0); TOOL_DIRECTION: (0.0194853, -0.226801, -0.973746)
TIME_SPECIAL: 149448901916400; POINT_POSITION: (510.203, 190.462, 0); TOOL_DIRECTION: (0.00657662, -0.223784, -0.974617)
TIME_SPECIAL: 149448918605755; POINT_POSITION: (492.994, 191.399, 0); TOOL_DIRECTION: (-0.00266295, -0.223149, -0.974781)
TIME_SPECIAL: 149448935285724; POINT_POSITION: (477.246, 192.743, 0); TOOL_DIRECTION: (-0.0104374, -0.220278, -0.975381)
TIME_SPECIAL: 149448951949196; POINT_POSITION: (461.095, 194.493, 0); TOOL_DIRECTION: (-0.0187031, -0.212441, -0.976995)
TIME_SPECIAL: 149448968618356; POINT_POSITION: (444.198, 196.186, 0); TOOL_DIRECTION: (-0.0276889, -0.207109, -0.977926)
TIME_SPECIAL: 149448985314254; POINT_POSITION: (426.615, 196.81, 0); TOOL_DIRECTION: (-0.0384015, -0.207774, -0.977423)
TIME_SPECIAL: 149449001977441; POINT_POSITION: (409.204, 197.907, 0); TOOL_DIRECTION: (-0.049584, -0.204829, -0.977541)
TIME_SPECIAL: 149449018641197; POINT_POSITION: (393.782, 198.546, 0); TOOL_DIRECTION: (-0.0596029, -0.202572, -0.977452)
