PRACTICE_WORD_COUNT: 4
TIME_EXPERIMENT_START: 41681494876913
TIME_WORD_START: 41681495608782; WORD_VALUE: gales
TIME_SPECIAL: 41683424484889; POINT_POSITION: (440.248, 192.719, 0); TOOL_DIRECTION: (-0.0726834, -0.159172, -0.984572)
TIME_SPECIAL: 41683441070992; POINT_POSITION: (440.248, 192.719, 0); TOOL_DIRECTION: (-0.0726834, -0.159172, -0.984572)
TIME_SPECIAL: 41683457812685; POINT_POSITION: (440.248, 192.719, 0); TOOL_DIRECTION: (-0.0712482, -0.15996, -0.984549)
TIME_SPECIAL: 41683474461935; POINT_POSITION: (440.248, 192.719, 0); TOOL_DIRECTION: (-0.0705278, -0.161423, -0.984362)
TIME_SPECIAL: 41683491118579; POINT_POSITION: (440.248, 192.719, 0); TOOL_DIRECTION: (-0.0699562, -0.162506, -0.984225)
TIME_SPECIAL: 41683507834388; POINT_POSITION: (440.248, 192.719, 0); TOOL_DIRECTION: (-0.0697671, -0.163159, -0.98413)
TIME_SPECIAL: 41683524434713; POINT_POSITION: (440.248, 192.719, 0); TOOL_DIRECTION: (-0.0694858, -0.163696, -0.984061)
TIME_SPECIAL: 41683541159056; POINT_POSITION: (440.248, 192.719, 0); TOOL_DIRECTION: (-0.0694858, -0.163851, -0.984035)
TIME_SPECIAL: 41683557866047; POINT_POSITION: (440.248, 192.719, 0); TOOL_DIRECTION: (-0.0689375, -0.164521, -0.983962)
TIME_SPECIAL: 41683574523829; POINT_POSITION: (440.248, 192.719, 0); TOOL_DIRECTION: (-0.069289, -0.164942, -0.983866)
TIME_SPECIAL: 41683591207212; POINT_POSITION: (440.248, 192.719, 0); TOOL_DIRECTION: (-0.0690451, -0.165399, -0.983807)
TIME_SPECIAL: 41683607808959; POINT_POSITION: (440.248, 192.719, 0); TOOL_DIRECTION: (-0.0691862, -0.165147, -0.983839)
TIME_SPECIAL: 41683624507701; POINT_POSITION: (440.248, 192.719, 0); TOOL_DIRECTION: (-0.0690218, -0.165182, -0.983845)
TIME_SPECIAL: 41683641199048; POINT_POSITION: (440.248, 192.719, 0); TOOL_DIRECTION: (-0.0691344, -0.164605, -0.983934)
TIME_SPECIAL: 41683657888404; POINT_POSITION: (440.28, 192.789, 0); TOOL_DIRECTION: (-0.0704222, -0.163133, -0.984088)
TIME_SPECIAL: 41683674592550; POINT_POSITION: (440.348, 193.009, 0); TOOL_DIRECTION: (-0.0706644, -0.162052, -0.984249)
TIME_SPECIAL: 41683691265693; POINT_POSITION: (440.382, 193.37, 0); TOOL_DIRECTION: (-0.07161, -0.162151, -0.984164)
TIME_SPECIAL: 41683707899298; POINT_POSITION: (440.243, 193.934, 0); TOOL_DIRECTION: (-0.0725854, -0.163608, -0.983852)
TIME_SPECIAL: 41683724573294; POINT_POSITION: (439.763, 194.635, 0); TOOL_DIRECTION: (-0.072437, -0.165902, -0.983478)
TIME_SPECIAL: 41683741225103; POINT_POSITION: (438.172, 195.65, 0); TOOL_DIRECTION: (-0.0738077, -0.1675, -0.983105)
TIME_SPECIAL: 41683757872646; POINT_POSITION: (436.472, 196.318, 0); TOOL_DIRECTION: (-0.0742457, -0.167483, -0.983075)
TIME_SPECIAL: 41683774563424; POINT_POSITION: (431.317, 197.47, 0); TOOL_DIRECTION: (-0.0764043, -0.170164, -0.982449)
TIME_SPECIAL: 41683791270130; POINT_POSITION: (422.473, 198.507, 0); TOOL_DIRECTION: (-0.0795245, -0.167599, -0.982642)
TIME_SPECIAL: 41683807963752; POINT_POSITION: (411.558, 199.146, 0); TOOL_DIRECTION: (-0.0836044, -0.165672, -0.982631)
TIME_SPECIAL: 41683824626939; POINT_POSITION: (401.24, 199.031, 0); TOOL_DIRECTION: (-0.0859404, -0.167804, -0.982067)
TIME_SPECIAL: 41683841354126; POINT_POSITION: (391.975, 199.33, 0); TOOL_DIRECTION: (-0.0886156, -0.168003, -0.981795)
TIME_SPECIAL: 41683857973509; POINT_POSITION: (382.832, 200.336, 0); TOOL_DIRECTION: (-0.0924537, -0.163936, -0.982129)
TIME_SPECIAL: 41683874673104; POINT_POSITION: (373.272, 200.695, 0); TOOL_DIRECTION: (-0.0964876, -0.164756, -0.981604)
TIME_SPECIAL: 41683891308416; POINT_POSITION: (363.524, 200.861, 0); TOOL_DIRECTION: (-0.100896, -0.165468, -0.98104)
TIME_SPECIAL: 41683907942590; POINT_POSITION: (353.431, 201.169, 0); TOOL_DIRECTION: (-0.104433, -0.166672, -0.980466)
TIME_SPECIAL: 41683924621706; POINT_POSITION: (343.197, 201.584, 0); TOOL_DIRECTION: (-0.107478, -0.168314, -0.979857)
TIME_SPECIAL: 41683941348608; POINT_POSITION: (332.398, 202.252, 0); TOOL_DIRECTION: (-0.111705, -0.168334, -0.97938)
TIME_SPECIAL: 41683958023172; POINT_POSITION: (321.575, 202.944, 0); TOOL_DIRECTION: (-0.116096, -0.166491, -0.979185)
TIME_SPECIAL: 41683974694324; POINT_POSITION: (316.267, 203.103, 0); TOOL_DIRECTION: (-0.117617, -0.16715, -0.978891)
TIME_SPECIAL: 41683991312569; POINT_POSITION: (305.674, 203.191, 0); TOOL_DIRECTION: (-0.120886, -0.16773, -0.978393)
TIME_SPECIAL: 41684008059097; POINT_POSITION: (295.115, 203.374, 0); TOOL_DIRECTION: (-0.124722, -0.167005, -0.978036)
TIME_SPECIAL: 41684024739351; POINT_POSITION: (285.577, 203.253, 0); TOOL_DIRECTION: (-0.127458, -0.168821, -0.977371)
TIME_SPECIAL: 41684041339392; POINT_POSITION: (275.777, 203.096, 0); TOOL_DIRECTION: (-0.130869, -0.169878, -0.976737)
TIME_SPECIAL: 41684058075112; POINT_POSITION: (266.326, 203.139, 0); TOOL_DIRECTION: (-0.133765, -0.170914, -0.976164)
TIME_SPECIAL: 41684074738867; POINT_POSITION: (258.036, 202.941, 0); TOOL_DIRECTION: (-0.134996, -0.173242, -0.975584)
TIME_SPECIAL: 41684091373610; POINT_POSITION: (249.633, 203.013, 0); TOOL_DIRECTION: (-0.138161, -0.174025, -0.975001)
TIME_SPECIAL: 41684108077188; POINT_POSITION: (242.185, 203, 0); TOOL_DIRECTION: (-0.140257, -0.175177, -0.974495)
TIME_SPECIAL: 41684124746917; POINT_POSITION: (235.406, 203.134, 0); TOOL_DIRECTION: (-0.142845, -0.17478, -0.974191)
TIME_SPECIAL: 41684141404415; POINT_POSITION: (229.139, 203.421, 0); TOOL_DIRECTION: (-0.14555, -0.173344, -0.974047)
TIME_SPECIAL: 41684158096331; POINT_POSITION: (223.317, 203.459, 0); TOOL_DIRECTION: (-0.146512, -0.175371, -0.97354)
TIME_SPECIAL: 41684174770327; POINT_POSITION: (218.084, 203.351, 0); TOOL_DIRECTION: (-0.148503, -0.176536, -0.973027)
TIME_SPECIAL: 41684191419292; POINT_POSITION: (215.638, 203.335, 0); TOOL_DIRECTION: (-0.148643, -0.176361, -0.973037)
TIME_PRESSED: 41684191465940; KEY_PRESSED: VK_A; KEY_EXPECTED: VK_A
TIME_SPECIAL: 41684208095279; POINT_POSITION: (211.08, 203.354, 0); TOOL_DIRECTION: (-0.150727, -0.175292, -0.97291)
TIME_SPECIAL: 41684224751354; POINT_POSITION: (207.808, 203.008, 0); TOOL_DIRECTION: (-0.150754, -0.176771, -0.972638)
TIME_SPECIAL: 41684241478825; POINT_POSITION: (204.707, 202.453, 0); TOOL_DIRECTION: (-0.151275, -0.179074, -0.972136)
TIME_SPECIAL: 41684258189230; POINT_POSITION: (201.28, 201.88, 0); TOOL_DIRECTION: (-0.151866, -0.181211, -0.971648)
TIME_SPECIAL: 41684274775902; POINT_POSITION: (198.803, 201.537, 0); TOOL_DIRECTION: (-0.152328, -0.182413, -0.97135)
TIME_SPECIAL: 41684291453026; POINT_POSITION: (196.157, 201.212, 0); TOOL_DIRECTION: (-0.152872, -0.183334, -0.971092)
TIME_SPECIAL: 41684308161440; POINT_POSITION: (193.605, 200.857, 0); TOOL_DIRECTION: (-0.153163, -0.183608, -0.970994)
TIME_SPECIAL: 41684324811542; POINT_POSITION: (191.314, 200.413, 0); TOOL_DIRECTION: (-0.153961, -0.184709, -0.970659)
TIME_SPECIAL: 41684341538160; POINT_POSITION: (189.539, 200.035, 0); TOOL_DIRECTION: (-0.154458, -0.18532, -0.970463)
TIME_SPECIAL: 41684358269898; POINT_POSITION: (187.886, 199.572, 0); TOOL_DIRECTION: (-0.154655, -0.186184, -0.970267)
TIME_SPECIAL: 41684374864534; POINT_POSITION: (186.636, 199.016, 0); TOOL_DIRECTION: (-0.154433, -0.187579, -0.970033)
TIME_SPECIAL: 41684391580058; POINT_POSITION: (186.07, 198.644, 0); TOOL_DIRECTION: (-0.154392, -0.18871, -0.96982)
TIME_SPECIAL: 41684408177824; POINT_POSITION: (185.247, 197.933, 0); TOOL_DIRECTION: (-0.153506, -0.190598, -0.969592)
TIME_SPECIAL: 41684424942556; POINT_POSITION: (184.259, 197.363, 0); TOOL_DIRECTION: (-0.153138, -0.19131, -0.96951)
TIME_SPECIAL: 41684441584410; POINT_POSITION: (182.695, 196.717, 0); TOOL_DIRECTION: (-0.153829, -0.192167, -0.969231)
TIME_SPECIAL: 41684458246459; POINT_POSITION: (180.691, 195.911, 0); TOOL_DIRECTION: (-0.155056, -0.193492, -0.968772)
TIME_SPECIAL: 41684474914482; POINT_POSITION: (178.894, 195.292, 0); TOOL_DIRECTION: (-0.155934, -0.194331, -0.968463)
TIME_SPECIAL: 41684491601847; POINT_POSITION: (177.28, 194.915, 0); TOOL_DIRECTION: (-0.156872, -0.194511, -0.968275)
TIME_SPECIAL: 41684508212696; POINT_POSITION: (176.174, 194.691, 0); TOOL_DIRECTION: (-0.156614, -0.194438, -0.968331)
TIME_SPECIAL: 41684524932487; POINT_POSITION: (174.839, 194.341, 0); TOOL_DIRECTION: (-0.156745, -0.194967, -0.968204)
TIME_SPECIAL: 41684541612741; POINT_POSITION: (174.839, 194.341, 0); TOOL_DIRECTION: (-0.156745, -0.194967, -0.968204)
TIME_SPECIAL: 41684558330256; POINT_POSITION: (174.112, 194.142, 0); TOOL_DIRECTION: (-0.156523, -0.195286, -0.968176)
