PRACTICE_WORD_COUNT: 6
TIME_EXPERIMENT_START: 40784760122298
TIME_WORD_START: 40784761120974; WORD_VALUE: tilled
TIME_SPECIAL: 40787488940891; POINT_POSITION: (428.661, 229.012, 0); TOOL_DIRECTION: (-0.0597441, -0.274733, -0.959663)
TIME_SPECIAL: 40787505585873; POINT_POSITION: (434.567, 229.87, 0); TOOL_DIRECTION: (-0.0583326, -0.273186, -0.960191)
TIME_SPECIAL: 40787522210376; POINT_POSITION: (443.014, 230.648, 0); TOOL_DIRECTION: (-0.0546298, -0.272216, -0.960684)
TIME_SPECIAL: 40787538964300; POINT_POSITION: (451.868, 231.571, 0); TOOL_DIRECTION: (-0.0521887, -0.27103, -0.961155)
TIME_SPECIAL: 40787555588234; POINT_POSITION: (459.804, 232.377, 0); TOOL_DIRECTION: (-0.0491243, -0.270286, -0.961526)
TIME_SPECIAL: 40787572279012; POINT_POSITION: (467.211, 233.151, 0); TOOL_DIRECTION: (-0.0470838, -0.268962, -0.961999)
TIME_SPECIAL: 40787588964386; POINT_POSITION: (474.437, 233.959, 0); TOOL_DIRECTION: (-0.0447711, -0.267067, -0.962638)
TIME_SPECIAL: 40787605582346; POINT_POSITION: (477.887, 234.165, 0); TOOL_DIRECTION: (-0.0429894, -0.266644, -0.962836)
TIME_SPECIAL: 40787622235578; POINT_POSITION: (485.39, 234.913, 0); TOOL_DIRECTION: (-0.0403015, -0.265527, -0.963261)
TIME_SPECIAL: 40787638987795; POINT_POSITION: (492.853, 235.63, 0); TOOL_DIRECTION: (-0.0369215, -0.263588, -0.963928)
TIME_SPECIAL: 40787655573898; POINT_POSITION: (499.683, 236.443, 0); TOOL_DIRECTION: (-0.0345356, -0.261731, -0.964523)
TIME_SPECIAL: 40787672318436; POINT_POSITION: (505.734, 237.393, 0); TOOL_DIRECTION: (-0.0321612, -0.259913, -0.965096)
TIME_SPECIAL: 40787688979063; POINT_POSITION: (512.441, 238.428, 0); TOOL_DIRECTION: (-0.0293665, -0.257363, -0.965869)
TIME_SPECIAL: 40787705666427; POINT_POSITION: (519.057, 239.132, 0); TOOL_DIRECTION: (-0.0267492, -0.256488, -0.966177)
TIME_SPECIAL: 40787722335872; POINT_POSITION: (525.068, 240.09, 0); TOOL_DIRECTION: (-0.024495, -0.255145, -0.966593)
TIME_SPECIAL: 40787738948144; POINT_POSITION: (531.11, 241.014, 0); TOOL_DIRECTION: (-0.0214223, -0.251949, -0.967503)
TIME_SPECIAL: 40787755702921; POINT_POSITION: (536.525, 242.202, 0); TOOL_DIRECTION: (-0.0194638, -0.249153, -0.968269)
TIME_SPECIAL: 40787772354162; POINT_POSITION: (541.501, 242.881, 0); TOOL_DIRECTION: (-0.0173259, -0.247937, -0.968621)
TIME_SPECIAL: 40787789047215; POINT_POSITION: (546.669, 243.565, 0); TOOL_DIRECTION: (-0.0143633, -0.246263, -0.969097)
TIME_SPECIAL: 40787805800570; POINT_POSITION: (549.086, 243.934, 0); TOOL_DIRECTION: (-0.0129892, -0.245668, -0.969267)
