PRACTICE_WORD_COUNT: 8
TIME_EXPERIMENT_START: 123840877189279
TIME_WORD_START: 123840877819318; WORD_VALUE: dinned
TIME_SPECIAL: 123842788591539; POINT_POSITION: (356.204, 214.199, 0); TOOL_DIRECTION: (-0.00587236, -0.180522, -0.983553)
TIME_SPECIAL: 123842805284023; POINT_POSITION: (366.864, 215.739, 0); TOOL_DIRECTION: (0.00232645, -0.176721, -0.984258)
TIME_SPECIAL: 123842821957735; POINT_POSITION: (372.051, 216.338, 0); TOOL_DIRECTION: (0.00621903, -0.175038, -0.984542)
TIME_SPECIAL: 123842838645668; POINT_POSITION: (383.281, 217.971, 0); TOOL_DIRECTION: (0.0139684, -0.169333, -0.98546)
TIME_SPECIAL: 123842855282118; POINT_POSITION: (383.281, 217.971, 0); TOOL_DIRECTION: (0.0139684, -0.169333, -0.98546)
TIME_SPECIAL: 123842871987118; POINT_POSITION: (401.93, 220.539, 0); TOOL_DIRECTION: (0.0259653, -0.163652, -0.986176)
TIME_SPECIAL: 123842888669078; POINT_POSITION: (414.14, 222.13, 0); TOOL_DIRECTION: (0.0342223, -0.160531, -0.986437)
TIME_SPECIAL: 123842905287607; POINT_POSITION: (423.994, 222.95, 0); TOOL_DIRECTION: (0.0405266, -0.158804, -0.986478)
TIME_SPECIAL: 123842922022758; POINT_POSITION: (432.058, 223.324, 0); TOOL_DIRECTION: (0.0450873, -0.158859, -0.986271)
TIME_SPECIAL: 123842938708416; POINT_POSITION: (439.215, 223.807, 0); TOOL_DIRECTION: (0.049158, -0.16034, -0.985837)
TIME_SPECIAL: 123842955410003; POINT_POSITION: (447.664, 224.837, 0); TOOL_DIRECTION: (0.0545069, -0.158151, -0.985909)
TIME_SPECIAL: 123842972056123; POINT_POSITION: (456.216, 226.598, 0); TOOL_DIRECTION: (0.0600004, -0.152688, -0.986451)
TIME_SPECIAL: 123842988704235; POINT_POSITION: (463.593, 228.01, 0); TOOL_DIRECTION: (0.0644822, -0.148275, -0.986842)
TIME_SPECIAL: 123843005342391; POINT_POSITION: (468.721, 229.109, 0); TOOL_DIRECTION: (0.0666353, -0.145651, -0.987089)
TIME_SPECIAL: 123843022014396; POINT_POSITION: (474.721, 229.905, 0); TOOL_DIRECTION: (0.0694015, -0.144824, -0.98702)
TIME_SPECIAL: 123843038680712; POINT_POSITION: (478.306, 230.655, 0); TOOL_DIRECTION: (0.0713771, -0.142382, -0.987235)
TIME_SPECIAL: 123843055435204; POINT_POSITION: (485.793, 232.626, 0); TOOL_DIRECTION: (0.0759615, -0.136044, -0.987786)
TIME_SPECIAL: 123843072065681; POINT_POSITION: (492.404, 233.652, 0); TOOL_DIRECTION: (0.0800207, -0.134175, -0.987722)
TIME_SPECIAL: 123843088704121; POINT_POSITION: (498.516, 234.942, 0); TOOL_DIRECTION: (0.0838026, -0.130181, -0.987942)
TIME_SPECIAL: 123843105419077; POINT_POSITION: (503.681, 235.661, 0); TOOL_DIRECTION: (0.085992, -0.127312, -0.988128)
TIME_SPECIAL: 123843122084824; POINT_POSITION: (509.759, 236.339, 0); TOOL_DIRECTION: (0.0892176, -0.125341, -0.988094)
TIME_SPECIAL: 123843138797503; POINT_POSITION: (517.885, 237.265, 0); TOOL_DIRECTION: (0.09474, -0.122958, -0.987879)
TIME_SPECIAL: 123843155450735; POINT_POSITION: (527.204, 238.117, 0); TOOL_DIRECTION: (0.100973, -0.12028, -0.987592)
TIME_SPECIAL: 123843172118757; POINT_POSITION: (536.092, 238.669, 0); TOOL_DIRECTION: (0.106369, -0.119241, -0.987151)
