PRACTICE_WORD_COUNT: 9
TIME_EXPERIMENT_START: 152972009560383
TIME_WORD_START: 152972010593761; WORD_VALUE: vales
TIME_SPECIAL: 152974236254762; POINT_POSITION: (433.515, 115.615, 235.267); TOOL_DIRECTION: (0.184812, -0.0772421, -0.979734)
TIME_SPECIAL: 152974252894340; POINT_POSITION: (436.279, 120.593, 232.246); TOOL_DIRECTION: (0.179005, -0.0768816, -0.98084)
TIME_SPECIAL: 152974269626078; POINT_POSITION: (440.345, 124.013, 230.526); TOOL_DIRECTION: (0.177413, -0.0773422, -0.981093)
TIME_SPECIAL: 152974286217870; POINT_POSITION: (445.449, 125.919, 230.219); TOOL_DIRECTION: (0.179872, -0.0826344, -0.980213)
TIME_SPECIAL: 152974302930834; POINT_POSITION: (449.347, 128.477, 230.234); TOOL_DIRECTION: (0.179813, -0.0825976, -0.980227)
TIME_SPECIAL: 152974319598288; POINT_POSITION: (452.66, 130.321, 230.756); TOOL_DIRECTION: (0.178331, -0.0823174, -0.980521)
TIME_SPECIAL: 152974336299021; POINT_POSITION: (456.147, 131.049, 229.738); TOOL_DIRECTION: (0.177132, -0.0830196, -0.980679)
TIME_SPECIAL: 152974352913853; POINT_POSITION: (460.422, 131.072, 229.039); TOOL_DIRECTION: (0.176199, -0.081753, -0.980954)
TIME_SPECIAL: 152974369632222; POINT_POSITION: (464.788, 128.884, 227.981); TOOL_DIRECTION: (0.175492, -0.0846552, -0.980834)
TIME_SPECIAL: 152974386263835; POINT_POSITION: (466.706, 126.852, 227.542); TOOL_DIRECTION: (0.17474, -0.0899861, -0.980494)
TIME_SPECIAL: 152974402977653; POINT_POSITION: (470.475, 125.874, 226.204); TOOL_DIRECTION: (0.174557, -0.0917619, -0.980362)
TIME_SPECIAL: 152974419659044; POINT_POSITION: (475.215, 124.977, 223.589); TOOL_DIRECTION: (0.173436, -0.0921967, -0.98052)
TIME_SPECIAL: 152974436360631; POINT_POSITION: (476.738, 124.782, 220.663); TOOL_DIRECTION: (0.171294, -0.0920751, -0.980908)
TIME_SPECIAL: 152974453019552; POINT_POSITION: (478.745, 124.698, 217.879); TOOL_DIRECTION: (0.168318, -0.0907625, -0.981545)
TIME_SPECIAL: 152974469679894; POINT_POSITION: (479.532, 124.269, 216.217); TOOL_DIRECTION: (0.167053, -0.0907378, -0.981764)
TIME_SPECIAL: 152974486375507; POINT_POSITION: (482.045, 123.82, 212.756); TOOL_DIRECTION: (0.16508, -0.0881497, -0.982333)
TIME_SPECIAL: 152974503029877; POINT_POSITION: (484.193, 121.969, 209.08); TOOL_DIRECTION: (0.162809, -0.0876544, -0.982756)
TIME_SPECIAL: 152974519705295; POINT_POSITION: (485.056, 119.821, 205.745); TOOL_DIRECTION: (0.159976, -0.089729, -0.983034)
TIME_SPECIAL: 152974536396357; POINT_POSITION: (483.46, 118.297, 202.174); TOOL_DIRECTION: (0.154072, -0.091451, -0.983818)
TIME_SPECIAL: 152974553066086; POINT_POSITION: (480.715, 115.496, 197.601); TOOL_DIRECTION: (0.14604, -0.0958531, -0.984624)
TIME_SPECIAL: 152974569727567; POINT_POSITION: (477.73, 114.583, 192.861); TOOL_DIRECTION: (0.137813, -0.0958529, -0.985809)
TIME_SPECIAL: 152974586389331; POINT_POSITION: (475.748, 113.153, 186.608); TOOL_DIRECTION: (0.131285, -0.0961337, -0.986673)
TIME_SPECIAL: 152974603098598; POINT_POSITION: (471.991, 110.842, 179.8); TOOL_DIRECTION: (0.121849, -0.0978773, -0.987711)
TIME_SPECIAL: 152974619748416; POINT_POSITION: (466.258, 104.728, 171.481); TOOL_DIRECTION: (0.109142, -0.106995, -0.988251)
TIME_SPECIAL: 152974636446874; POINT_POSITION: (461.932, 97.7158, 164.279); TOOL_DIRECTION: (0.0998457, -0.118181, -0.98796)
TIME_SPECIAL: 152974653123430; POINT_POSITION: (458.57, 96.5046, 159.064); TOOL_DIRECTION: (0.0922998, -0.117091, -0.988823)
TIME_SPECIAL: 152974669777230; POINT_POSITION: (456.858, 95.1887, 156.669); TOOL_DIRECTION: (0.0887012, -0.117942, -0.989051)
TIME_SPECIAL: 152974686432453; POINT_POSITION: (453.346, 90.6284, 151.941); TOOL_DIRECTION: (0.0821302, -0.125335, -0.988709)
TIME_SPECIAL: 152974703144564; POINT_POSITION: (449.978, 88.5777, 149.12); TOOL_DIRECTION: (0.0752771, -0.128815, -0.988807)
TIME_SPECIAL: 152974719824533; POINT_POSITION: (449.002, 88.3515, 146.925); TOOL_DIRECTION: (0.0730368, -0.129124, -0.988935)
TIME_SPECIAL: 152974736455578; POINT_POSITION: (447.844, 90.4064, 144.577); TOOL_DIRECTION: (0.0701516, -0.124477, -0.98974)
TIME_SPECIAL: 152974753176507; POINT_POSITION: (447.066, 92.0826, 142.185); TOOL_DIRECTION: (0.0682871, -0.120966, -0.990305)
TIME_SPECIAL: 152974769821205; POINT_POSITION: (445.371, 93.2366, 139.145); TOOL_DIRECTION: (0.0653307, -0.119632, -0.990666)
TIME_SPECIAL: 152974786480410; POINT_POSITION: (442.691, 94.9006, 135.334); TOOL_DIRECTION: (0.0606096, -0.118582, -0.991093)
TIME_SPECIAL: 152974803189676; POINT_POSITION: (440.646, 97.0646, 131.619); TOOL_DIRECTION: (0.0565011, -0.116573, -0.991574)
TIME_SPECIAL: 152974819826695; POINT_POSITION: (440.203, 97.9168, 129.456); TOOL_DIRECTION: (0.0557082, -0.117901, -0.991462)
TIME_SPECIAL: 152974836502113; POINT_POSITION: (440.234, 98.3349, 126.794); TOOL_DIRECTION: (0.0558756, -0.121137, -0.991062)
TIME_SPECIAL: 152974853143966; POINT_POSITION: (440.388, 100.273, 123.713); TOOL_DIRECTION: (0.0560452, -0.12174, -0.990978)
TIME_SPECIAL: 152974869874851; POINT_POSITION: (439.833, 102.661, 121.643); TOOL_DIRECTION: (0.054402, -0.121416, -0.99111)
TIME_SPECIAL: 152974886599762; POINT_POSITION: (438.414, 104.361, 118.956); TOOL_DIRECTION: (0.051203, -0.120015, -0.991451)
TIME_SPECIAL: 152974903159696; POINT_POSITION: (437.73, 105.178, 117.691); TOOL_DIRECTION: (0.0495243, -0.119492, -0.991599)
TIME_SPECIAL: 152974919922153; POINT_POSITION: (437.295, 106.639, 116.249); TOOL_DIRECTION: (0.0480473, -0.119743, -0.991642)
TIME_SPECIAL: 152974936563438; POINT_POSITION: (437.049, 106.062, 113.629); TOOL_DIRECTION: (0.0475935, -0.12189, -0.991402)
TIME_SPECIAL: 152974953236581; POINT_POSITION: (436.812, 106.154, 110.474); TOOL_DIRECTION: (0.0470001, -0.123587, -0.99122)
TIME_SPECIAL: 152974969883839; POINT_POSITION: (436.216, 106.741, 106.954); TOOL_DIRECTION: (0.0456228, -0.125248, -0.991076)
TIME_SPECIAL: 152974986601354; POINT_POSITION: (435.276, 105.416, 102.641); TOOL_DIRECTION: (0.0437536, -0.132006, -0.990283)
TIME_SPECIAL: 152975003242355; POINT_POSITION: (434.599, 106.006, 97.3113); TOOL_DIRECTION: (0.0421561, -0.134202, -0.990057)
TIME_SPECIAL: 152975019959017; POINT_POSITION: (433.811, 106.233, 92.2346); TOOL_DIRECTION: (0.0398579, -0.136066, -0.989898)
TIME_SPECIAL: 152975036635288; POINT_POSITION: (433.122, 105.107, 74.0078); TOOL_DIRECTION: (0.0378276, -0.13843, -0.98965)
TIME_SPECIAL: 152975053298191; POINT_POSITION: (433.418, 105.038, 55.683); TOOL_DIRECTION: (0.0372927, -0.13835, -0.989681)
TIME_SPECIAL: 152975069954836; POINT_POSITION: (433.645, 104.659, 41.7853); TOOL_DIRECTION: (0.0366771, -0.139269, -0.989575)
