PRACTICE_WORD_COUNT: 10
TIME_EXPERIMENT_START: 116205097924312
TIME_WORD_START: 116205099074027; WORD_VALUE: fit
TIME_SPECIAL: 116208274009330; POINT_POSITION: (386.16, 103.445, 52.5831); TOOL_DIRECTION: (-0.376907, 0.164452, -0.911536)
TIME_SPECIAL: 116208290720019; POINT_POSITION: (383.442, 102.774, 50.3373); TOOL_DIRECTION: (-0.378863, 0.162591, -0.911058)
TIME_SPECIAL: 116208307387188; POINT_POSITION: (377.418, 101.163, 46.2796); TOOL_DIRECTION: (-0.383304, 0.158003, -0.910007)
TIME_SPECIAL: 116208324071993; POINT_POSITION: (371.266, 100.688, 42.7237); TOOL_DIRECTION: (-0.387385, 0.155275, -0.908748)
TIME_SPECIAL: 116208340723802; POINT_POSITION: (364.19, 100.786, 38.8772); TOOL_DIRECTION: (-0.390618, 0.152959, -0.907756)
TIME_SPECIAL: 116208357419131; POINT_POSITION: (356.702, 99.1594, 35.0019); TOOL_DIRECTION: (-0.391722, 0.145109, -0.908569)
TIME_PRESSED: 116208357469762; KEY_PRESSED: VK_C; KEY_EXPECTED: VK_C
TIME_SPECIAL: 116208374120433; POINT_POSITION: (346.988, 100.148, 31.9801); TOOL_DIRECTION: (-0.39197, 0.137898, -0.909585)
TIME_SPECIAL: 116208390798980; POINT_POSITION: (334.511, 104.541, 29.36); TOOL_DIRECTION: (-0.393324, 0.134705, -0.909478)
TIME_SPECIAL: 116208407464443; POINT_POSITION: (318.79, 107.804, 27.8502); TOOL_DIRECTION: (-0.396955, 0.128466, -0.908803)
TIME_SPECIAL: 116208424132181; POINT_POSITION: (299.792, 110.769, 27.2739); TOOL_DIRECTION: (-0.40266, 0.120587, -0.907372)
TIME_SPECIAL: 116208440831208; POINT_POSITION: (279.268, 116.194, 27.6391); TOOL_DIRECTION: (-0.407171, 0.119282, -0.905529)
TIME_SPECIAL: 116208457469079; POINT_POSITION: (258.147, 123.776, 30.4099); TOOL_DIRECTION: (-0.411961, 0.12069, -0.903173)
TIME_SPECIAL: 116208474154453; POINT_POSITION: (247.813, 127.624, 30.306); TOOL_DIRECTION: (-0.413511, 0.120654, -0.90247)
TIME_SPECIAL: 116208490801995; POINT_POSITION: (224.761, 138.037, 30.5735); TOOL_DIRECTION: (-0.418654, 0.123804, -0.899667)
TIME_SPECIAL: 116208507487084; POINT_POSITION: (200.269, 151.919, 32.1984); TOOL_DIRECTION: (-0.42588, 0.133838, -0.894826)
TIME_PRESSED: 116208507537715; KEY_PRESSED: VK_A; KEY_EXPECTED: VK_A
TIME_SPECIAL: 116208524432154; POINT_POSITION: (176.216, 162.204, 32.1655); TOOL_DIRECTION: (-0.431856, 0.135769, -0.891665)
TIME_SPECIAL: 116208540847307; POINT_POSITION: (153.265, 168.917, 32.3673); TOOL_DIRECTION: (-0.437038, 0.133506, -0.88948)
TIME_SPECIAL: 116208557542920; POINT_POSITION: (132.207, 173.364, 32.2173); TOOL_DIRECTION: (-0.440538, 0.128564, -0.88848)
TIME_SPECIAL: 116208574178232; POINT_POSITION: (114.511, 177.132, 31.9148); TOOL_DIRECTION: (-0.441833, 0.125963, -0.88821)
TIME_SPECIAL: 116208590880388; POINT_POSITION: (101.815, 179.607, 31.9135); TOOL_DIRECTION: (-0.441014, 0.121377, -0.889255)
TIME_SPECIAL: 116208607560926; POINT_POSITION: (95.9505, 181.284, 32.4162); TOOL_DIRECTION: (-0.436354, 0.117424, -0.89208)
TIME_SPECIAL: 116208624213588; POINT_POSITION: (95.0126, 178.748, 29.8177); TOOL_DIRECTION: (-0.432922, 0.110615, -0.894619)
TIME_SPECIAL: 116208640887868; POINT_POSITION: (96.4509, 180.312, 27.4622); TOOL_DIRECTION: (-0.426739, 0.107565, -0.897955)
TIME_SPECIAL: 116208657568975; POINT_POSITION: (99.8985, 182.641, 27.1266); TOOL_DIRECTION: (-0.423005, 0.110213, -0.8994)
TIME_SPECIAL: 116208674269709; POINT_POSITION: (122.133, 186.859, 26.7064); TOOL_DIRECTION: (-0.409898, 0.117045, -0.90459)
TIME_SPECIAL: 116208690900185; POINT_POSITION: (146.168, 191.099, 27.0941); TOOL_DIRECTION: (-0.399064, 0.125892, -0.908239)
