PRACTICE_WORD_COUNT: 7
TIME_EXPERIMENT_START: 154873377644387
TIME_WORD_START: 154873378223511; WORD_VALUE: tom
TIME_SPECIAL: 154875723775434; POINT_POSITION: (642.922, 190.358, 0); TOOL_DIRECTION: (0.172921, -0.0917781, -0.98065)
TIME_SPECIAL: 154875740430941; POINT_POSITION: (642.993, 187.384, 0); TOOL_DIRECTION: (0.171902, -0.108677, -0.979101)
TIME_SPECIAL: 154875757100954; POINT_POSITION: (646.106, 184.043, 0); TOOL_DIRECTION: (0.174452, -0.123702, -0.976865)
TIME_SPECIAL: 154875773755892; POINT_POSITION: (648.497, 183.105, 0); TOOL_DIRECTION: (0.176575, -0.126774, -0.976089)
TIME_SPECIAL: 154875790463168; POINT_POSITION: (652.362, 181.851, 0); TOOL_DIRECTION: (0.180104, -0.129313, -0.975111)
TIME_PRESSED: 154875790502137; KEY_PRESSED: VK_M; KEY_EXPECTED: VK_M
TIME_SPECIAL: 154875807146266; POINT_POSITION: (654.733, 180.564, 0); TOOL_DIRECTION: (0.181146, -0.132627, -0.974472)
TIME_SPECIAL: 154875823787266; POINT_POSITION: (656.985, 177.826, 0); TOOL_DIRECTION: (0.181399, -0.142284, -0.973062)
TIME_SPECIAL: 154875840457564; POINT_POSITION: (660.135, 175.015, 0); TOOL_DIRECTION: (0.183509, -0.152114, -0.971178)
TIME_SPECIAL: 154875857086903; POINT_POSITION: (662.446, 173.056, 0); TOOL_DIRECTION: (0.185585, -0.159265, -0.969635)
TIME_SPECIAL: 154875873835991; POINT_POSITION: (663.527, 172.135, 0); TOOL_DIRECTION: (0.18589, -0.162437, -0.969051)
TIME_SPECIAL: 154875890490930; POINT_POSITION: (664.282, 171.691, 0); TOOL_DIRECTION: (0.18641, -0.163433, -0.968783)
TIME_SPECIAL: 154875907174881; POINT_POSITION: (663.869, 171.227, 0); TOOL_DIRECTION: (0.185364, -0.164921, -0.968732)
TIME_SPECIAL: 154875923780610; POINT_POSITION: (662.702, 171.228, 0); TOOL_DIRECTION: (0.184857, -0.164726, -0.968862)
