PRACTICE_WORD_COUNT: 5
TIME_EXPERIMENT_START: 153168113736448
TIME_WORD_START: 153168114624476; WORD_VALUE: rube
TIME_SPECIAL: 153170524608223; POINT_POSITION: (312.803, 242.053, 17.0563); TOOL_DIRECTION: (-0.238837, 0.0715108, -0.968423)
TIME_SPECIAL: 153170541156780; POINT_POSITION: (312.447, 241.765, 16.5228); TOOL_DIRECTION: (-0.238323, 0.0717273, -0.968534)
TIME_SPECIAL: 153170557848127; POINT_POSITION: (313.512, 240.661, 15.2077); TOOL_DIRECTION: (-0.234688, 0.0712904, -0.969453)
TIME_SPECIAL: 153170574462674; POINT_POSITION: (314.863, 239.7, 13.8041); TOOL_DIRECTION: (-0.231133, 0.07034, -0.970376)
TIME_SPECIAL: 153170591194696; POINT_POSITION: (316.249, 238.485, 12.5325); TOOL_DIRECTION: (-0.228162, 0.0677569, -0.971263)
TIME_SPECIAL: 153170607857883; POINT_POSITION: (317.133, 238.153, 11.6461); TOOL_DIRECTION: (-0.226339, 0.0682985, -0.971651)
TIME_SPECIAL: 153170624545817; POINT_POSITION: (316.978, 238.363, 10.6414); TOOL_DIRECTION: (-0.226309, 0.070815, -0.971478)
TIME_SPECIAL: 153170641215830; POINT_POSITION: (316.835, 238.274, 9.11695); TOOL_DIRECTION: (-0.224609, 0.0720361, -0.971783)
TIME_SPECIAL: 153170657890679; POINT_POSITION: (320.639, 237.727, 6.66852); TOOL_DIRECTION: (-0.215363, 0.0730289, -0.9738)
TIME_SPECIAL: 153170674574631; POINT_POSITION: (324.094, 237.903, 3.74052); TOOL_DIRECTION: (-0.209269, 0.0760459, -0.974897)
TIME_SPECIAL: 153170691238671; POINT_POSITION: (326.008, 238.373, 1.25585); TOOL_DIRECTION: (-0.206849, 0.0799669, -0.975099)
TIME_PRESSED: 153170691289586; KEY_PRESSED: VK_R; KEY_EXPECTED: VK_R
TIME_SPECIAL: 153170707955049; POINT_POSITION: (326.679, 238.742, 0); TOOL_DIRECTION: (-0.204855, 0.0834871, -0.975225)
TIME_SPECIAL: 153170724559925; POINT_POSITION: (326.26, 237.476, 0); TOOL_DIRECTION: (-0.203386, 0.0792155, -0.975889)
TIME_SPECIAL: 153170741287965; POINT_POSITION: (320.609, 231.802, 0); TOOL_DIRECTION: (-0.20446, 0.0730857, -0.976143)
TIME_SPECIAL: 153170757941196; POINT_POSITION: (316.804, 229.198, 0); TOOL_DIRECTION: (-0.204754, 0.0718983, -0.976169)
TIME_SPECIAL: 153170774619743; POINT_POSITION: (314.209, 227.78, 0); TOOL_DIRECTION: (-0.204685, 0.0719255, -0.976182)
TIME_SPECIAL: 153170791268992; POINT_POSITION: (313.122, 227.15, 0); TOOL_DIRECTION: (-0.203407, 0.0739317, -0.976299)
TIME_SPECIAL: 153170807995610; POINT_POSITION: (311.656, 226.07, 0); TOOL_DIRECTION: (-0.202287, 0.0750001, -0.97645)
TIME_SPECIAL: 153170824586833; POINT_POSITION: (307.313, 222.535, 0); TOOL_DIRECTION: (-0.202262, 0.0700814, -0.976821)
TIME_SPECIAL: 153170841309469; POINT_POSITION: (303.348, 219.281, 0); TOOL_DIRECTION: (-0.20071, 0.0641485, -0.977548)
TIME_SPECIAL: 153170858002522; POINT_POSITION: (300.497, 218.274, 0); TOOL_DIRECTION: (-0.201826, 0.0628373, -0.977404)
TIME_SPECIAL: 153170874671398; POINT_POSITION: (299.546, 218.372, 0); TOOL_DIRECTION: (-0.201823, 0.0649839, -0.977264)
TIME_SPECIAL: 153170891316096; POINT_POSITION: (298.165, 217.63, 0); TOOL_DIRECTION: (-0.201327, 0.0643177, -0.97741)
TIME_SPECIAL: 153170908025078; POINT_POSITION: (297.149, 217.541, 0); TOOL_DIRECTION: (-0.202027, 0.0655578, -0.977183)
TIME_SPECIAL: 153170924670914; POINT_POSITION: (296.973, 217.291, 0); TOOL_DIRECTION: (-0.201702, 0.0654497, -0.977258)
TIME_SPECIAL: 153170941362545; POINT_POSITION: (296.653, 216.69, 0); TOOL_DIRECTION: (-0.201291, 0.0639806, -0.97744)
TIME_SPECIAL: 153170958042515; POINT_POSITION: (296.969, 216.788, 0); TOOL_DIRECTION: (-0.200101, 0.0645798, -0.977645)
TIME_SPECIAL: 153170974732439; POINT_POSITION: (297.851, 216.956, 0); TOOL_DIRECTION: (-0.199518, 0.0649468, -0.977739)
TIME_SPECIAL: 153170991374862; POINT_POSITION: (298.676, 217.573, 0); TOOL_DIRECTION: (-0.198824, 0.0673446, -0.977719)
TIME_SPECIAL: 153171008063364; POINT_POSITION: (299.279, 218.346, 0); TOOL_DIRECTION: (-0.198513, 0.0708453, -0.977534)
TIME_SPECIAL: 153171024750160; POINT_POSITION: (300.758, 218.617, 0); TOOL_DIRECTION: (-0.196548, 0.0714283, -0.977889)
TIME_SPECIAL: 153171041385471; POINT_POSITION: (302.417, 218.788, 0); TOOL_DIRECTION: (-0.195127, 0.0697896, -0.978292)
TIME_SPECIAL: 153171058076249; POINT_POSITION: (303.225, 219.035, 0); TOOL_DIRECTION: (-0.195373, 0.0687532, -0.978316)
TIME_SPECIAL: 153171074748823; POINT_POSITION: (306.434, 219.975, 0); TOOL_DIRECTION: (-0.191415, 0.0720577, -0.97886)
TIME_SPECIAL: 153171091414854; POINT_POSITION: (312.399, 222.184, 0); TOOL_DIRECTION: (-0.186715, 0.0776758, -0.979338)
TIME_SPECIAL: 153171108097099; POINT_POSITION: (325.809, 226.024, 0); TOOL_DIRECTION: (-0.178795, 0.0818745, -0.980474)
TIME_SPECIAL: 153171124791006; POINT_POSITION: (338.341, 231.49, 0); TOOL_DIRECTION: (-0.171818, 0.0925815, -0.980769)
TIME_SPECIAL: 153171141422620; POINT_POSITION: (354.355, 236.414, 0); TOOL_DIRECTION: (-0.161521, 0.0989696, -0.981894)
